temperature_C,density_kg_m3,specific_heat_kJ_kgK,viscosity_Pa_s,thermal_conductivity_W_mK,enthalpy_kJ_kg
280,780.0,5.22,9.70e-5,0.582,1233.0
285,772.0,5.29,9.38e-5,0.576,1259.3
290,764.0,5.37,9.07e-5,0.569,1285.9
295,755.5,5.45,8.77e-5,0.562,1313.0
300,746.5,5.55,8.47e-5,0.554,1340.5
305,737.5,5.66,8.18e-5,0.547,1368.5
310,728.0,5.79,7.90e-5,0.539,1397.1
315,718.0,5.94,7.63e-5,0.530,1426.5
320,707.5,6.12,7.36e-5,0.521,1456.6
325,696.5,6.34,7.10e-5,0.511,1487.8
330,685.0,6.62,6.84e-5,0.502,1520.2
335,672.5,6.95,6.59e-5,0.491,1554.1
340,659.0,7.40,6.34e-5,0.480,1590.0
345,644.0,8.15,6.09e-5,0.468,1628.9
