timestamp,depth,water_temperature,salinity,density
2020-03-15T00:00:00,1.0,12.5,33.2,1024.0
2020-03-15T00:15:00,2.0,12.7,33.3,1024.1
2020-03-15T00:30:00,3.0,12.6,33.1,1023.97
2020-03-15T00:45:00,4.0,12.5,33.2,1024.1
2020-03-15T01:00:00,5.0,12.5,33.2,1024.3
2020-03-15T01:15:00,6.0,12.5,33.2,1024.5
2020-03-15T01:30:00,7.0,12.5,33.2,1024.7
2020-03-15T01:45:00,8.0,12.5,33.2,1024.6
2020-03-15T02:00:00,9.0,12.5,33.2,1024.8
2020-03-15T02:15:00,10.0,25.0,33.2,1025.0
2020-03-15T02:30:00,11.0,12.8,33.2,1025.2
2020-03-15T02:45:00,12.0,-2.0,33.2,1025.4
2020-03-15T03:00:00,13.0,13.0,33.1,
2020-03-15T03:15:00,14.0,,,
2020-03-15T03:30:00,15.0,13.2,33.3,1026.0
2020-03-15T03:45:00,16.0,36.0,4.0,1026.2
2020-03-15T04:00:00,17.0,13.1,33.0,1026.1
2020-03-15T04:15:00,18.0,45.0,43.0,1026.3
2020-03-15T04:30:00,19.0,13.0,33.1,1026.5
2020-03-15T04:45:00,20.0,13.1,33.0,1026.7
