# Convergence of Cf at x=0.970084071 with grid size, incompressible codes using SA model
variables="N","h^2=1/N","h=sqrt(1/N)","C_f,x=0.97"
zone, t="FUN3D incompressible SA"
208896.  4.78707e-6  2.18794e-3  2.729090163E-03
 52224.  1.91483e-5  4.37588e-3  2.728461055E-03
 13056.  7.65931e-5  8.75175e-3  2.726642415E-03
  3264.  3.06373e-4  1.75035e-2  2.720381133E-03
   816.  1.22549e-3  3.50070e-2  2.695820527E-03
zone t="SC/TETRA incompressible SA"
208896.  4.78707e-6  2.18794e-3  .00272937
 52224.  1.91483e-5  4.37588e-3  .00271606
 13056.  7.65931e-5  8.75175e-3  .00266620
  3264.  3.06373e-4  1.75035e-2  .00253575
   816.  1.22549e-3  3.50070e-2  .00225826
