"accountingYearMonthNumber","symbolCode","issueName","issuerServicesGroupExchangeCode","marketClassCode","currentShortPositionQuantity","previousShortPositionQuantity","stockSplitFlag","averageDailyVolumeQuantity","daysToCoverQuantity","revisionFlag","changePercent","changePreviousNumber","settlementDate"
"20200415","A","Agilent Technologies Inc.","A","NYSE","4851353","4767556",,"2012318","2.41",,"1.76","83797","2020-04-15"
"20200415","AA","Alcoa Corporation","A","NYSE","10624431","9476203",,"9564290","1.11",,"12.12","1148228","2020-04-15"
"20200415","AAALF","Aareal Bank AG AKT","S","OTC","79128","100172",,"0","999.99",,"-21.01","-21044","2020-04-15"
"20200415","AAAU","Perth Mint Physical Gold ETF (","E","ARCA","399660","429690",,"255623","1.56",,"-6.99","-30030","2020-04-15"
"20200415","AACAF","AAC Technologies Holdings Inc","S","OTC","18249629","18080333",,"1331","999.99",,"0.94","169296","2020-04-15"
"20200415","AACAY","AAC Technologies Holdings Inc","S","OTC","10789","7161",,"217395","1.00",,"50.66","3628","2020-04-15"
"20200415","AACG","ATA Creativity Global American","R","NNM","25842","26523",,"8170","3.16",,"-2.57","-681","2020-04-15"
"20200415","AACH","AAC HLDGS INC Common Stock","S","OTC","287565","411052",,"44328","6.49",,"-30.04","-123487","2020-04-15"
"20200415","AACMZ","Asia Cement Corp Global Deposi","S","OTC","1","1",,"0","999.99",,"0.00","0","2020-04-15"
"20200415","AACTF","AURORA SOLAR TECHNOLOGIES INC","S","OTC","5456","4006",,"9001","1.00",,"36.20","1450","2020-04-15"
"20200415","AADR","AdvisorShares Dorsey Wright AD","E","ARCA","858","3957",,"7117","1.00",,"-78.32","-3099","2020-04-15"
"20200415","AAGFF","Aftermath Silver Ltd Ordinary","S","OTC","111577","43588",,"546810","1.00",,"155.98","67989","2020-04-15"
"20200415","AAGIY","AIA Group, Ltd. Sponsored Amer","S","OTC","77061","44417",,"535612","1.00",,"73.49","32644","2020-04-15"
"20200415","AAGRY","Astra Agro Lestari TBK PT Unsp","S","OTC","1","1",,"0","999.99",,"0.00","0","2020-04-15"
"20200415","AAHIF","Asahi Co Ltd Osaka Ordinary Sh","S","OTC","53300","83500",,"0","999.99",,"-36.17","-30200","2020-04-15"
"20200415","AAIGF","AIA Group, Ltd. Ordinary Share","S","OTC","1226509","1426393",,"34437","35.62",,"-14.01","-199884","2020-04-15"
"20200415","AAIRF","American Aires Inc. Common Sha","S","OTC","2245","2245",,"3269","1.00",,"0.00","0","2020-04-15"
"20200415","AAL","American Airlines Group Inc. C","R","NNM","81535899","55241201",,"78303570","1.04",,"47.60","26294698","2020-04-15"
"20200415","AALBF","Aalberts Industries NV Ordinar","S","OTC","119032","9136",,"20","999.99",,"1202.89","109896","2020-04-15"
"20200415","AAMAF","Atlas Mara Co Nvest Ltd. Ordin","S","OTC","17580","5615",,"11668","1.51",,"213.09","11965","2020-04-15"
"20200415","AAMC","Altisource Asset Mgmt Corp","B","AMEX","13214","13225",,"2630","5.02",,"-0.08","-11","2020-04-15"
"20200415","AAME","Atlantic American Corporation","R","NNM","2543","2189",,"1187","2.14",,"16.17","354","2020-04-15"
"20200415","AAMMF","Almadex Minerals Ltd Ordinary","S","OTC","11","11",,"23156","1.00",,"0.00","0","2020-04-15"
"20200415","AAMTF","Armada Mercantile Ltd Ordinary","S","OTC","218","470",,"20","10.90",,"-53.62","-252","2020-04-15"
"20200415","AAN","Aaron's, Inc.","A","NYSE","3978248","4479249",,"1061761","3.75",,"-11.18","-501001","2020-04-15"
"20200415","AANNF","Aroundtown SA Ordinary Shares","S","OTC","8227355","8222992",,"896","999.99",,"0.05","4363","2020-04-15"
"20200415","AAOI","Applied Optoelectronics, Inc.","R","NNM","7105367","7332525",,"494527","14.37",,"-3.10","-227158","2020-04-15"
"20200415","AAON","AAON, Inc. Common Stock","R","NNM","3520841","3565604",,"234658","15.00",,"-1.26","-44763","2020-04-15"
"20200415","AAP","ADVANCE AUTO PARTS INC","A","NYSE","1694128","1533419",,"1189933","1.42",,"10.48","160709","2020-04-15"
"20200415","AAPL","Apple Inc. Common Stock","R","NNM","34636195","39059449",,"38275532","1.00",,"-11.32","-4423254","2020-04-15"
"20200415","AASP","All-American SportPark, Inc. C","S","OTC","25","25",,"600","1.00",,"0.00","0","2020-04-15"
"20200415","AASZF","Atlantic Sapphire AS Common Sh","S","OTC","79680","79970",,"2431","32.78",,"-0.36","-290","2020-04-15"
"20200415","AAT","AMERICAN ASSETS TRUST, INC.","A","NYSE","588997","878924",,"414718","1.42",,"-32.99","-289927","2020-04-15"
"20200415","AATDF","AA LTD Ordinary Shares (United","S","OTC","262200","258186",,"580","452.07",,"1.55","4014","2020-04-15"
"20200415","AATRL","AMG Capital  Trust II 5.15% Co","S","OTC","9666","2651",,"27092","1.00",,"264.62","7015","2020-04-15"
"20200415","AAU","Almaden Minerals Ltd.","B","AMEX","1449495","1397595",,"383238","3.78",,"3.71","51900","2020-04-15"
"20200415","AAUKF","Anglo American plc Ordinary Sh","S","OTC","4625206","4896741",,"27473","168.35",,"-5.55","-271535","2020-04-15"
"20200415","AAVMY","Abn Amro BK N V Amsterdam Brh","S","OTC","68422","20483",,"205191","1.00",,"234.04","47939","2020-04-15"
"20200415","AAVVF","Advantage Oil & Gas Ltd Ordina","S","OTC","2696397","3008288",,"74978","35.96",,"-10.37","-311891","2020-04-15"
"20200415","AAVXF","Abivax SA Ordinary Shares (Fra","S","OTC","120","11",,"280","1.00",,"990.91","109","2020-04-15"
"20200415","AAWW","Atlas Air Worldwide Holdings N","R","NNM","2370212","2449176",,"571275","4.15",,"-3.22","-78964","2020-04-15"
"20200415","AAXJ","iShares MSCI All Country Asia","R","NNM","1503083","2428381",,"1487640","1.01",,"-38.10","-925298","2020-04-15"
"20200415","AAXN","Axon Enterprise, Inc. Common S","R","NNM","4705995","4417202",,"501920","9.38",,"6.54","288793","2020-04-15"
"20200415","AB","AllianceBernstein Holding, L.P","A","NYSE","1415615","1437298",,"526932","2.69",,"-1.51","-21683","2020-04-15"
"20200415","ABAHF","Abacus Health Products Inc Com","S","OTC","486","26",,"9999","1.00",,"1769.23","460","2020-04-15"
"20200415","ABAKF","ABERDEEN ASIA-PACIFIC INCOME O","S","OTC","9000","4500",,"0","999.99",,"100.00","4500","2020-04-15"
"20200415","ABB","ABB Ltd.","A","NYSE","1260101","2457377",,"2428800","1.00",,"-48.72","-1197276","2020-04-15"
"20200415","ABBRF","Abraplata Resource Corp Ordina","S","OTC","14000","56152",,"109862","1.00",,"-75.07","-42152","2020-04-15"
"20200415","ABBV","ABBVIE INC.","A","NYSE","84732539","84640109",,"9295717","9.12",,"0.11","92430","2020-04-15"
"20200415","ABBY","Abby, Inc  Common Stock","S","OTC","50","50",,"28712","1.00",,"0.00","0","2020-04-15"
"20200415","ABC","AmerisourceBergen Corp.","A","NYSE","4256753","4019793",,"1443262","2.95",,"5.89","236960","2020-04-15"
"20200415","ABCB","Ameris Bancorp Common Stock","R","NNM","2033389","1838098",,"389772","5.22",,"10.62","195291","2020-04-15"
"20200415","ABCFF","Abacus Mining & Exploration Co","S","OTC","4229","15950",,"49064","1.00",,"-73.49","-11721","2020-04-15"
"20200415","ABCP","AmBase Corporation Common Stoc","S","OTC","12674","12774",,"3723","3.40",,"-0.78","-100","2020-04-15"
"20200415","ABCZF","Abcam PLC Ordinary Shares (Uni","S","OTC","169658","170670",,"1","999.99",,"-0.59","-1012","2020-04-15"
"20200415","ABCZY","Abcam PLC Unsponsored ADR (Uni","S","OTC","1024","1230",,"4593","1.00",,"-16.75","-206","2020-04-15"
"20200415","ABDDF","Ab Dynamics PLC Ordinary Share","S","OTC","1211","1146",,"0","999.99",,"5.67","65","2020-04-15"
"20200415","ABDR","Ambassador Food Services Corpo","S","OTC","4","5",,"170","1.00",,"-20.00","-1","2020-04-15"
"20200415","ABEO","Abeona Therapeutics Inc. Commo","R","SC","4043237","4113593",,"1179690","3.43",,"-1.71","-70356","2020-04-15"
"20200415","ABEPF","Vision Lithium Inc Ordinary Sh","S","OTC","75","5322",,"3922","1.00",,"-98.59","-5247","2020-04-15"
"20200415","ABEQ","Absolute Core Strategy ETF","E","ARCA","19008","19826",,"8989","2.11",,"-4.13","-818","2020-04-15"
"20200415","ABEV","AMBEV S.A.","A","NYSE","60265627","49637705",,"22395967","2.69",,"21.41","10627922","2020-04-15"
"20200415","ABFOF","Abertis Infraestructuras SA Or","S","OTC","73","73",,"0","999.99",,"0.00","0","2020-04-15"
"20200415","ABG","Asbury Automotive Group, Inc.","A","NYSE","2369177","2020419",,"330882","7.16",,"17.26","348758","2020-04-15"
"20200415","ABILF","Ability Inc.  Ordinary Shares","S","OTC","8773","11016",,"5681","1.54",,"-20.36","-2243","2020-04-15"
"20200415","ABIO","ARCA biopharma, Inc. Common St","R","SC","32821","48976",,"17034","1.93",,"-32.99","-16155","2020-04-15"
"20200415","ABLZF","Abb Ltd Reg Ordinary Shares","S","OTC","5697256","5555197",,"16079","354.33",,"2.56","142059","2020-04-15"
"20200415","ABM","ABM Industries, Inc.","A","NYSE","2868964","2925502",,"526184","5.45",,"-1.93","-56538","2020-04-15"
"20200415","ABMBF","Abcourt Mines Inc Cl-B (F) Ord","S","OTC","6497","19145",,"36317","1.00",,"-66.06","-12648","2020-04-15"
"20200415","ABMC","American Bio Medica Corp. Comm","S","OTC","20873","300",,"2591252","1.00",,"6857.67","20573","2020-04-15"
"20200415","ABMD","ABIOMED, Inc. Common Stock","R","NNM","3063056","3043182",,"526089","5.82",,"0.65","19874","2020-04-15"
"20200415","ABML","American Battery Metals Corpor","S","OTC","21763","14841",,"4183064","1.00",,"46.64","6922","2020-04-15"
"20200415","ABMRF","ABN Amro BK NV Depositary Rece","S","OTC","448548","454378",,"3121","143.72",,"-1.28","-5830","2020-04-15"
"20200415","ABMT","Advanced BioMedical Technologi","S","OTC","255","255",,"841","1.00",,"0.00","0","2020-04-15"
"20200415","ABNAF","Aben Resources, Ltd. Ordinary","S","OTC","13177","8152",,"150482","1.00",,"61.64","5025","2020-04-15"
"20200415","ABR","Arbor Realty Trust, Inc.","A","NYSE","2612388","2227875",,"3362169","1.00",,"17.26","384513","2020-04-15"
"20200415","ABRPRA","Arbor Realty Trust, Inc 8.250%","A","NYSE","9034","207",,"9518","1.00",,"4264.25","8827","2020-04-15"
"20200415","ABRPRB","Arbor Realty Trust, Inc. 7.75%","A","NYSE","10783","14780",,"7564","1.43",,"-27.04","-3997","2020-04-15"
"20200415","ABRPRC","Arbor Realty Trust, Inc. 8.50%","A","NYSE","1530","1587",,"13763","1.00",,"-3.59","-57","2020-04-15"
