Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20260707|A|548037.250704|2210|778975.318823|Q
20260707|AA|1451969.733773|4354|2402657.012991|Q
20260707|AAA|3064|0|8779.694469|Q
20260707|AAAA|6613.550800|0|6737.237923|Q
20260707|AAAC|3|0|7.029900|Q
20260707|AAAP|43|0|87|Q
20260707|AAAU|170247.570753|0|273522.927113|Q
20260707|AACBR|5214|0|7414|Q
20260707|AACG|351.817589|19|1210.330681|Q
20260707|AACI|3|0|9|Q
20260707|AACIU|26|0|26|Q
20260707|AACIW|1|0|2|Q
20260707|AACO|4|0|3004|Q
20260707|AACOU|106|0|636|Q
20260707|AACP|29|0|3029|Q
20260707|AAC/U|4465|0|344349.110000|Q
20260707|AADR|1001.100000|0|1047.995900|Q
20260707|AADX|383244.716541|0|595554.849305|Q
20260707|AAL|42495316.187066|68343|106857516.528049|Q
20260707|AALG|4056|0|24330.121056|Q
20260707|AAME|8666|0|17481.361400|Q
20260707|AAMI|80756.727951|0|158140.846688|Q
20260707|AAOG|115661|31089|457602.876930|Q
20260707|AAOI|1465772.472212|6723|3808666.347192|Q
20260707|AAON|339079.482683|2434|482324.292421|Q
20260707|AAOX|740361.488469|55581|1904006.251566|Q
20260707|AAP|402068.254396|303|547958.628759|Q
20260707|AAPB|1259.458440|100|11553.198633|Q
20260707|AAPD|598871|0|1383559.205632|Q
20260707|AAPE|3|0|3|Q
20260707|AAPG|269.198193|0|2772.577905|Q
20260707|AAPL|6244227.680089|27892|12948243.197194|Q
20260707|AAPR|11|0|1764.730800|Q
20260707|AAPU|76908.266917|1357|348792.219067|Q
20260707|AAPW|3429.657842|0|5874.003889|Q
20260707|AAPX|5743|186|8942.739603|Q
20260707|AAPY|61.444700|0|167.642200|Q
20260707|AARD|38262.723817|88.755140|71170.175618|Q
20260707|AAT|50588.786900|94|96234.663583|Q
20260707|AAUA|1|0|6.057000|Q
20260707|AAUC|24435.291298|0|33126.282900|Q
20260707|AAUS|0.016655|0|0.746845|Q
20260707|AAVM|353|0|422.327400|Q
20260707|AAXJ|204245.870916|1489|231197.363201|Q
20260707|AB|34401.057488|0|107365.330664|Q
