Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20260707|A|33748.775480|0|43695.722040|N
20260707|AA|33796.312500|0|92337.336160|N
20260707|AAAU|1042|0|1446.307260|N
20260707|AACO|1|0|1|N
20260707|AACP|2|0|202|N
20260707|AADX|10719|0|14754|N
20260707|AAL|1186486|0|2480155.547450|N
20260707|AAME|633|0|1215|N
20260707|AAMI|3178.013100|0|5225.013100|N
20260707|AAOG|2103|0|11407|N
20260707|AAOI|47424|0|141080.649850|N
20260707|AAON|23392.576970|300|45761.879660|N
20260707|AAOX|11179|0|35436|N
20260707|AAP|9340.092010|0|16237.614780|N
20260707|AAPB|1|0|43|N
20260707|AAPD|101|0|27481|N
20260707|AAPG|57|0|468|N
20260707|AAPL|243087.840430|0|681366.416961|N
20260707|AAPU|1814|0|16058.969140|N
20260707|AARD|1070|0|1482|N
20260707|AAT|1366|0|2983.588400|N
20260707|AAUC|1782|0|2852|N
20260707|AAUS|3|0|7|N
20260707|AAXJ|11567.050630|11158|11568.744030|N
20260707|AB|11|0|305.718210|N
20260707|ABAT|12895|0|74650.183590|N
20260707|ABBV|41641.128740|0|97445.351310|N
20260707|ABCB|3173|0|3612.054900|N
20260707|ABCL|109732.575390|0|208183.465720|N
20260707|ABEO|54866|0|63352|N
20260707|ABEV|48771|0|2297811.605770|N
20260707|ABG|3529.011950|0|4403.962750|N
20260707|ABM|4935|0|5666.625960|N
20260707|ABNB|14554.301300|0|23889.980900|N
20260707|ABOS|2023|0|2343|N
20260707|ABR|57691.970200|10|87417.730820|N
20260707|ABSI|38312|0|61258.405430|N
20260707|ABT|38655.348120|0|92462.397130|N
20260707|ABTC|66229|0|101273|N
20260707|ABUF|151|0|151|N
20260707|ABUS|16472|0|31970|N
20260707|ABVC|798|0|1845|N
20260707|ABVX|13212|0|16774.352200|N
20260707|ABX|8705|3340|21391|N
20260707|ACA|128|0|2457|N
20260707|ACAD|2035|0|30464|N
20260707|ACB|780.853940|0|16906.775220|N
20260707|ACCO|2230.998520|0|3993.009480|N
20260707|ACCS|208|0|372|N
20260707|ACDC|9637|0|18007|N
20260707|ACEL|4003.757820|0|7132.757820|N
20260707|ACES|7.117230|0|10.392760|N
20260707|ACET|1221|0|1690|N
20260707|ACFN|31|0|43|N
20260707|ACGL|27432|0|37717|N
20260707|ACH|1598|0|1817|N
20260707|ACHC|32930|0|74317|N
20260707|ACHR|170310|0|3841773.598080|N
20260707|ACHV|12784|0|15894|N
20260707|ACI|54692|0|106077.120580|N
20260707|ACIC|680|0|932|N
20260707|ACIO|200|0|1946|N
20260707|ACIU|1033.956180|0|2192.368270|N
