"tradeDate","issueSymbolIdentifier","issueName","marketClassCode","thresholdListFlag","marketCategoryDescription","regShoThresholdFlag","rule4320Flag"
"2024-03-04","ACMEX","ACME Exploration Corp Common Stock","OTC","R","Other OTC","Y","N"
"2024-03-04","BRDGW","Bridge World Holdings Inc ADR","OTC","R","Other OTC","Y","N"
"2024-03-04","CXLNR","Connexion Linear Technologies Ltd","OTC","R","Other OTC","Y","N"
"2024-03-04","DPQRT","DeepQuartz Minerals Inc Common Stock","OTC","R","Other OTC","Y","N"
"2024-03-04","EMFGZ","Emerald Forge Group Ltd ADR","OTC","NR","Other OTC","N","Y"
"2024-03-04","FKLMN","FalconStream Networks Inc","OTC","R","Other OTC","Y","N"
"2024-03-04","GNPQV","GenPharma Quest Ventures ADR","OTC","R","Other OTC","Y","Y"
"2024-03-04","HJKTW","HexaJet Kinetic Technologies Inc","OTC","R","Other OTC","Y","N"
"2024-03-05","ACMEX","ACME Exploration Corp Common Stock","OTC","R","Other OTC","Y","N"
"2024-03-05","BRDGW","Bridge World Holdings Inc ADR","OTC","R","Other OTC","Y","N"
"2024-03-05","CXLNR","Connexion Linear Technologies Ltd","OTC","R","Other OTC","Y","N"
"2024-03-05","DPQRT","DeepQuartz Minerals Inc Common Stock","OTC","R","Other OTC","Y","N"
"2024-03-05","EMFGZ","Emerald Forge Group Ltd ADR","OTC","NR","Other OTC","N","Y"
"2024-03-05","FKLMN","FalconStream Networks Inc","OTC","R","Other OTC","Y","N"
"2024-03-05","GNPQV","GenPharma Quest Ventures ADR","OTC","R","Other OTC","Y","Y"
"2024-03-05","HJKTW","HexaJet Kinetic Technologies Inc","OTC","R","Other OTC","Y","N"
"2024-03-06","ACMEX","ACME Exploration Corp Common Stock","OTC","R","Other OTC","Y","N"
"2024-03-06","BRDGW","Bridge World Holdings Inc ADR","OTC","R","Other OTC","Y","N"
"2024-03-06","CXLNR","Connexion Linear Technologies Ltd","OTC","R","Other OTC","Y","N"
"2024-03-06","DPQRT","DeepQuartz Minerals Inc Common Stock","OTC","R","Other OTC","Y","N"
"2024-03-06","EMFGZ","Emerald Forge Group Ltd ADR","OTC","NR","Other OTC","N","Y"
"2024-03-06","FKLMN","FalconStream Networks Inc","OTC","R","Other OTC","Y","N"
"2024-03-06","GNPQV","GenPharma Quest Ventures ADR","OTC","R","Other OTC","Y","Y"
"2024-03-07","ACMEX","ACME Exploration Corp Common Stock","OTC","R","Other OTC","Y","N"
"2024-03-07","BRDGW","Bridge World Holdings Inc ADR","OTC","R","Other OTC","Y","N"
"2024-03-07","CXLNR","Connexion Linear Technologies Ltd","OTC","R","Other OTC","Y","N"
"2024-03-07","EMFGZ","Emerald Forge Group Ltd ADR","OTC","NR","Other OTC","N","Y"
"2024-03-07","FKLMN","FalconStream Networks Inc","OTC","R","Other OTC","Y","N"
"2024-03-07","GNPQV","GenPharma Quest Ventures ADR","OTC","R","Other OTC","Y","Y"
"2024-03-08","ACMEX","ACME Exploration Corp Common Stock","OTC","R","Other OTC","Y","N"
"2024-03-08","BRDGW","Bridge World Holdings Inc ADR","OTC","R","Other OTC","Y","N"
"2024-03-08","EMFGZ","Emerald Forge Group Ltd ADR","OTC","NR","Other OTC","N","Y"
"2024-03-08","FKLMN","FalconStream Networks Inc","OTC","R","Other OTC","Y","N"
"2024-03-08","GNPQV","GenPharma Quest Ventures ADR","OTC","R","Other OTC","Y","Y"
"2024-03-11","ACMEX","ACME Exploration Corp Common Stock","OTC","R","Other OTC","Y","N"
"2024-03-11","BRDGW","Bridge World Holdings Inc ADR","OTC","R","Other OTC","Y","N"
"2024-03-11","DPQRT","DeepQuartz Minerals Inc Common Stock","OTC","R","Other OTC","Y","N"
"2024-03-11","EMFGZ","Emerald Forge Group Ltd ADR","OTC","NR","Other OTC","N","Y"
"2024-03-11","GNPQV","GenPharma Quest Ventures ADR","OTC","R","Other OTC","Y","Y"
"2024-03-12","ACMEX","ACME Exploration Corp Common Stock","OTC","R","Other OTC","Y","N"
"2024-03-12","BRDGW","Bridge World Holdings Inc ADR","OTC","R","Other OTC","Y","N"
"2024-03-12","DPQRT","DeepQuartz Minerals Inc Common Stock","OTC","R","Other OTC","Y","N"
"2024-03-12","EMFGZ","Emerald Forge Group Ltd ADR","OTC","NR","Other OTC","N","Y"
"2024-03-13","ACMEX","ACME Exploration Corp Common Stock","OTC","R","Other OTC","Y","N"
"2024-03-13","DPQRT","DeepQuartz Minerals Inc Common Stock","OTC","R","Other OTC","Y","N"
"2024-03-13","EMFGZ","Emerald Forge Group Ltd ADR","OTC","NR","Other OTC","N","Y"
"2024-03-14","ACMEX","ACME Exploration Corp Common Stock","OTC","R","Other OTC","Y","N"
"2024-03-14","DPQRT","DeepQuartz Minerals Inc Common Stock","OTC","R","Other OTC","Y","N"
"2024-03-14","EMFGZ","Emerald Forge Group Ltd ADR","OTC","NR","Other OTC","N","Y"
"2024-03-15","ACMEX","ACME Exploration Corp Common Stock","OTC","R","Other OTC","Y","N"
"2024-03-15","DPQRT","DeepQuartz Minerals Inc Common Stock","OTC","R","Other OTC","Y","N"
"2024-03-15","EMFGZ","Emerald Forge Group Ltd ADR","OTC","NR","Other OTC","N","Y"
