# ROV telemetry - HexaCross-8 manual thruster test session
# Recorded: 2026-05-15 14:23:35 to 14:25:10
# Coordinate frame: body NED (X-forward, Y-right, Z-down)
# t*_cmd: normalized thruster command [-1,1]
# accel_*: linear acceleration (m/s^2), ang_accel_*: angular acceleration (rad/s^2)
time_s,t1_cmd,t2_cmd,t3_cmd,t4_cmd,t5_cmd,t6_cmd,t7_cmd,t8_cmd,accel_x,accel_y,accel_z,ang_accel_x,ang_accel_y,ang_accel_z
0.0,-0.200736,0.721143,0.371190,0.157854,-0.550370,-0.550409,-0.707066,0.585882,-0.000489,0.040081,-0.097757,-0.985074,0.479699,1.513554
4.0,0.161784,0.332916,-0.767065,0.751856,0.531908,-0.460257,-0.509080,-0.506553,0.028845,0.095604,-0.075519,0.754010,-0.628278,-2.045567
8.0,-0.313212,0.039610,-0.108888,-0.334033,0.178965,-0.576810,-0.332569,-0.213821,0.009578,0.007223,-0.075539,0.485354,-0.119805,0.793479
12.0,-0.070288,0.456282,-0.480522,0.022775,0.147863,-0.725679,0.172072,-0.527161,0.047729,0.058258,-0.074632,1.198305,0.081772,-0.068687
16.0,-0.695917,0.718217,0.745011,0.493436,-0.312618,-0.643725,0.294773,-0.095756,-0.068796,0.065764,-0.060586,0.549818,0.594264,2.208778
20.0,-0.604739,-0.007717,-0.744978,0.654913,-0.385952,0.260036,-0.301262,0.032109,-0.029551,0.112962,-0.031606,-0.746178,-0.094048,-1.315774
24.0,0.074736,-0.504233,0.751335,0.440213,0.703198,0.631724,0.156640,0.674999,-0.091700,-0.050351,0.173325,-0.340483,-0.182338,-0.286116
28.0,-0.658412,-0.486427,-0.727636,-0.279471,-0.178116,-0.365842,0.525980,-0.229195,-0.007791,0.035081,-0.019774,0.718400,0.445104,-0.446058
32.0,-0.350505,0.068314,-0.574521,0.483515,-0.680719,0.779019,0.435592,-0.482055,-0.010815,0.083544,0.004147,-0.413022,-0.076254,-1.036476
36.0,-0.791165,0.504738,0.330972,0.366411,0.434033,-0.681529,-0.226455,-0.614610,-0.055653,0.075312,-0.087085,1.145688,-0.366873,1.627056
40.0,0.580965,0.197277,-0.270563,-0.698307,-0.302428,-0.279707,0.367370,0.220092,0.098832,-0.045902,0.000426,0.094900,0.633754,0.141128
44.0,0.619540,-0.044456,-0.608649,0.341192,0.417256,0.098044,0.433547,-0.009927,0.047661,0.016170,0.075114,0.581095,-0.010538,-2.278685
48.0,0.036373,-0.115934,-0.759329,-0.627374,-0.749713,0.218257,-0.297030,0.013713,0.073943,-0.001151,-0.065182,-0.974258,0.100460,-0.394426
52.0,0.652106,-0.401132,-0.143387,0.408882,-0.433923,-0.676832,-0.336398,-0.542046,-0.000821,-0.028339,-0.159136,0.341758,0.042952,-2.189796
56.0,0.687516,0.492993,0.213446,0.594337,0.485875,-0.501488,0.628094,0.062948,0.021085,0.010543,0.054034,1.182865,0.410914,-0.820760
60.0,0.491904,0.633746,-0.291194,-0.623917,-0.435304,-0.116628,0.508824,0.577169,0.115443,-0.010798,0.042725,-0.294874,0.909461,0.680560
64.0,-0.788877,0.017196,-0.132142,-0.444628,-0.608215,-0.259816,0.708656,-0.282875,-0.011026,0.027922,-0.035380,0.490005,0.682387,1.511434
68.0,0.030065,0.324830,-0.218193,0.754851,0.739916,-0.397148,-0.004402,-0.318595,-0.010282,0.071718,0.001582,1.105719,-0.359799,-1.070419
72.0,-0.344255,-0.740981,0.175303,0.004286,-0.717634,-0.354166,0.653225,-0.416701,-0.071549,-0.032116,-0.066822,0.538254,0.673872,-0.259010
76.0,-0.568168,-0.016876,0.777041,-0.412712,0.275417,0.418591,-0.419780,0.365146,-0.053705,-0.036117,0.051150,-0.707124,-0.378874,2.490715
80.0,-0.211547,0.211689,0.213648,0.057239,-0.655536,0.536484,-0.286752,-0.501570,-0.015316,0.015094,-0.072590,-0.744535,-0.400328,0.782151
84.0,-0.734760,0.145429,0.284103,-0.773459,0.019349,-0.437607,0.232276,-0.521014,-0.005655,-0.010034,-0.056560,0.922092,0.040699,2.719752
88.0,0.305500,-0.181223,0.698768,-0.579966,-0.254294,-0.618442,0.679510,0.603743,0.000310,-0.099869,0.032841,0.335174,1.184932,1.277900
92.0,-0.387293,0.255974,0.507556,0.088321,0.047441,-0.413036,-0.651036,0.635545,-0.041136,0.012673,-0.030487,-0.629412,0.173762,1.459733
