time,A,B,C,D
0,1,0,0.5,0
0.2,0.818914893672459,0.172225545505726,0.489328407255595,0.019531153566221
0.4,0.671003428644585,0.296911368445161,0.49351935000279,0.038565852907464
0.6,0.550248233172503,0.384293856016426,0.507853151663853,0.0576047591472163
0.8,0.451730070930389,0.442599794380909,0.528696046686284,0.0769740880024175
1,0.371426027905878,0.478426432520995,0.553279999367483,0.0968675402056442
1.2,0.306044957760684,0.497050693618538,0.579524797893427,0.117379550727351
1.4,0.252893290771311,0.502680678235493,0.605894491064168,0.138531539929028
1.6,0.209765588737667,0.498660168183044,0.631281710470903,0.160292532608386
1.8,0.174855268807443,0.487634855765553,0.654914622612231,0.182595252814773
2,0.146681766898761,0.471687406452994,0.676282234296366,0.205348592351879
2.2,0.124031102032848,0.452447145901585,0.69507457194738,0.228447180118187
2.4,0.105907365550823,0.43117908907948,0.711134904785718,0.251778640583979
2.6,0.0914931175849943,0.408856154893069,0.724421710679081,0.275229016842856
2.8,0.0801170466211267,0.386217697298494,0.734978514105407,0.298686741974972
3,0.0712275522596211,0.363816903430009,0.742910076324542,0.322045467985828
3.2,0.06437115918511,0.342059136335951,0.748363703344883,0.345206001134057
3.4,0.0591748723338894,0.321232914567375,0.751514669675069,0.368077543423667
3.6,0.0553317478166973,0.301534906890002,0.752554945008627,0.390578400284674
3.8,0.0525890882438344,0.283090064568153,0.7516845649189,0.412636282269114
4,0.0507387803581213,0.265967805230582,0.749105111874784,0.434188302536513
4.2,0.0496093819111706,0.250194992495702,0.745014874747899,0.455180750845229
4.4,0.0490596372675996,0.23576631715969,0.739605337804494,0.475568707768216
4.6,0.048973160343222,0.222652573011274,0.73305871749355,0.495315549151953
4.8,0.0492540716661078,0.210807228483097,0.725546320035464,0.514392379815331
5,0.0498234156190834,0.200171620516511,0.717227537228006,0.532777426636399
5.2,0.0506162159297912,0.190679036053284,0.708249333928966,0.550455414087959
5.4,0.0515790535665024,0.182257896904443,0.698746109904978,0.567416939624077
5.6,0.0526680724671633,0.17483422329545,0.688839842421428,0.583657861815958
5.8,0.053847335872586,0.168333518437877,0.678640435122406,0.599178710567131
6,0.0550874701745585,0.162682189647883,0.66824621425429,0.613984125923269
6.2,0.0563645447227993,0.157808599683552,0.657744525807488,0.628082329786161
6.4,0.0576591454423148,0.15364382418658,0.647212397245446,0.641484633125659
6.6,0.0589556077856022,0.150122176638836,0.636717235615813,0.654204979959749
6.8,0.0602413808081487,0.147181550463659,0.626317540362234,0.666259528365958
7,0.0615064992655471,0.144763618321243,0.616063614382951,0.677666268030259
7.2,0.0627431448052744,0.142813920856005,0.605998261053781,0.688444673284941
7.4,0.0639452807323502,0.14128187082286,0.596157458256395,0.698615390188395
7.6,0.0651083476141464,0.140120693376094,0.586571003080613,0.708199955929147
7.8,0.0662290092643233,0.13928731913054,0.57726312294321,0.717220548661927
8,0.067304940506809,0.138742243219302,0.568253050487745,0.725699765786144
8.2,0.0683346496426522,0.138449360828736,0.559555560890785,0.733660428637828
8.4,0.0693173297897884,0.138375787473009,0.551181471163981,0.741125411573222
8.6,0.0702527342845881,0.1384916704747,0.543138101781282,0.74811749345943
8.8,0.0711410721720479,0.138769996671897,0.535429701503366,0.75465922965269
9,0.0719829204972083,0.139186400206569,0.5280578366709,0.760772842625323
9.2,0.072779150673627,0.139718973312177,0.521021746519376,0.76648012949482
9.4,0.073530866668062,0.140348082269113,0.514318666253918,0.771802384808907
9.6,0.07423935312139,0.141056190097747,0.507944119736619,0.776760337044243
9.8,0.0749060318395901,0.141827687083007,0.50189218369581,0.781374097381593
10,0.0755324253474619,0.142648729848107,0.496155725379628,0.785663119424802
