time,S,C,P
0,1,1,1
0.2,1.07843137254902,1.02,1.122
0.4,1.15384615384615,1.04,1.248
0.6,1.22641509433962,1.06,1.378
0.8,1.2962962962963,1.08,1.512
1,1.36363636363636,1.1,1.65
1.2,1.42857142857143,1.12,1.792
1.4,1.49122807017544,1.14,1.938
1.6,1.55172413793103,1.16,2.088
1.8,1.61016949152542,1.18,2.242
2,1.66666666666667,1.2,2.4
2.2,1.72131147540984,1.22,2.562
2.4,1.7741935483871,1.24,2.728
2.6,1.82539682539683,1.26,2.898
2.8,1.875,1.28,3.072
3,1.92307692307692,1.3,3.25
3.2,1.96969696969697,1.32,3.432
3.4,2.01492537313433,1.34,3.618
3.6,2.05882352941176,1.36,3.808
3.8,2.10144927536232,1.38,4.002
4,2.14285714285714,1.4,4.2
4.2,2.1830985915493,1.42,4.402
4.4,2.22222222222222,1.44,4.608
4.6,2.26027397260274,1.46,4.818
4.8,2.2972972972973,1.48,5.032
5,2.33333333333333,1.5,5.25
5.2,2.36842105263158,1.52,5.472
5.4,2.4025974025974,1.54,5.698
5.6,2.43589743589744,1.56,5.928
5.8,2.46835443037975,1.58,6.162
6,2.5,1.6,6.4
6.2,2.53086419753086,1.62,6.642
6.4,2.5609756097561,1.64,6.888
6.6,2.59036144578313,1.66,7.138
6.8,2.61904761904762,1.68,7.392
7,2.64705882352941,1.7,7.65
7.2,2.67441860465116,1.72,7.912
7.4,2.70114942528736,1.74,8.178
7.6,2.72727272727273,1.76,8.448
7.8,2.75280898876404,1.78,8.722
8,2.77777777777778,1.8,9
8.2,2.8021978021978,1.82,9.282
8.4,2.82608695652174,1.84,9.568
8.6,2.8494623655914,1.86,9.858
8.8,2.87234042553191,1.88,10.152
9,2.89473684210526,1.9,10.45
9.2,2.91666666666667,1.92,10.752
9.4,2.93814432989691,1.94,11.058
9.6,2.95918367346939,1.96,11.368
9.8,2.97979797979798,1.98,11.682
10,3,2,12
