compound_id	assay_id	pIC50	confidence_score
C001	ASSAY_001	4.50	0.95
C002	ASSAY_001	5.10	0.92
C002	ASSAY_002	5.30	0.88
C003	ASSAY_001	6.80	0.97
C004	ASSAY_001	7.10	0.91
C005	ASSAY_001	5.50	0.93
C006	ASSAY_001	3.10	0.96
C007	ASSAY_001	2.80	0.90
C008	ASSAY_001	2.50	0.94
C009	ASSAY_001	2.30	0.89
C010	ASSAY_001	6.40	0.91
C010	ASSAY_002	6.60	0.87
C011	ASSAY_001	4.80	0.95
C012	ASSAY_001	5.60	0.92
C013	ASSAY_001	1.20	0.88
C014	ASSAY_001	3.50	0.93
C015	ASSAY_001	4.20	0.90
C016	ASSAY_001	3.80	0.96
C017	ASSAY_001	3.50	0.94
C018	ASSAY_001	7.40	0.91
C018	ASSAY_002	7.60	0.89
C019	ASSAY_001	2.10	0.92
C020	ASSAY_001	1.50	0.87
C021	ASSAY_001	1.80	0.95
C022	ASSAY_001	2.20	0.93
C023	ASSAY_001	1.00	0.90
C024	ASSAY_001	3.90	0.96
C025	ASSAY_001	3.40	0.91
C031	ASSAY_001	4.50	0.85
C032	ASSAY_001	3.20	0.82
