compound_id,smiles,pIC50
C001,CC(=O)Oc1ccccc1C(=O)O,4.50
C002,CC(C)Cc1ccc(C(C)C(=O)O)cc1,5.20
C003,COc1ccc2cc(C(C)C(=O)O)ccc2c1,6.80
C004,OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,7.10
C005,OC(=O)C(C)c1ccc(-c2ccccc2)cc1,5.50
C006,CC(=O)Nc1ccc(O)cc1,3.10
C007,Cn1c(=O)c2c(ncn2C)n(C)c1=O,2.80
C008,Cn1c(=O)c2[nH]cnc2n(C)c1=O,2.50
C009,Cn1cnc2c1c(=O)[nH]c(=O)n2C,2.30
C010,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,6.50
C011,OC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,4.80
C012,c1ccc2[nH]c(-c3ccccn3)nc2c1,5.60
C013,CN(C)C(=N)NC(=N)N,1.20
C014,NC(=N)NC(=N)NCCc1ccccc1,3.50
C015,c1ccc(NC(=O)c2ccccc2)cc1,4.20
C016,OC(=O)c1ccccc1O,3.80
C017,OC(=O)c1ccc(O)cc1,3.50
C018,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,7.50
C019,Oc1ccc(Cl)cc1Cl,2.10
C020,Clc1ccc(Cl)cc1,1.50
C021,c1ccc(-c2ccccc2)cc1,1.80
C022,c1ccc2ccccc2c1,2.20
C023,c1ccncc1,1.00
C024,c1ccc(CC(=O)O)cc1,3.90
C025,OC(=O)c1ccccc1,3.40
