compound_id,smiles
C001,CC(=O)Oc1ccccc1C(=O)O
C002,CC(C)Cc1ccc(C(C)C(=O)O)cc1
C003,COc1ccc2cc(C(C)C(=O)O)ccc2c1
C004,OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl
C005,OC(=O)C(C)c1ccc(-c2ccccc2)cc1
C006,CC(=O)Nc1ccc(O)cc1
C007,Cn1c(=O)c2c(ncn2C)n(C)c1=O
C008,Cn1c(=O)c2[nH]cnc2n(C)c1=O
C009,Cn1cnc2c1c(=O)[nH]c(=O)n2C
C010,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
C011,OC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O
C012,c1ccc2[nH]c(-c3ccccn3)nc2c1
C013,CN(C)C(=N)NC(=N)N
C014,NC(=N)NC(=N)NCCc1ccccc1
C015,c1ccc(NC(=O)c2ccccc2)cc1
C016,OC(=O)c1ccccc1O
C017,OC(=O)c1ccc(O)cc1
C018,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O
C019,Oc1ccc(Cl)cc1Cl
C020,Clc1ccc(Cl)cc1
C021,c1ccc(-c2ccccc2)cc1
C022,c1ccc2ccccc2c1
C023,c1ccncc1
C024,c1ccc(CC(=O)O)cc1
C025,OC(=O)c1ccccc1
C026,CC(=O)(Oc1ccccc1
C027,Xc1ccc(O)cc1
C028,c1ccccc
C029,c1ccc(O)cc1
C030,c1ccc(N)cc1
