VerbatimTerm,PreferredTerm,BodySystemClass
headache,HEADACHE,Nervous system disorders
nausea and vomiting,NAUSEA AND VOMITING,Gastrointestinal disorders
dizziness,DIZZINESS,Nervous system disorders
severe generalized rash,RASH GENERALISED,Skin and subcutaneous tissue disorders
pruritis,PRURITUS,Skin and subcutaneous tissue disorders
pruritus,PRURITUS,Skin and subcutaneous tissue disorders
fatigue,FATIGUE,General disorders and administration site conditions
insomnia,INSOMNIA,Psychiatric disorders
constipation,CONSTIPATION,Gastrointestinal disorders
rash,RASH,Skin and subcutaneous tissue disorders
nausea,NAUSEA,Gastrointestinal disorders
vomiting,VOMITING,Gastrointestinal disorders
generalized rash,RASH GENERALISED,Skin and subcutaneous tissue disorders
