RiskType,Currency,SubCurve,Tenor,Sensitivity
Delta,USD,OIS,1Y,10.0
Delta,USD,OIS,5Y,-5.0
Delta,USD,OIS,10Y,8.0
Delta,USD,LIBOR3M,1Y,-3.0
Delta,USD,LIBOR3M,5Y,7.0
Delta,EUR,OIS,2Y,20.0
Delta,EUR,OIS,10Y,-15.0
Delta,EUR,LIBOR6M,5Y,12.0
Delta,JPY,OIS,3Y,-8.0
Delta,JPY,OIS,20Y,5.0
Delta,BRL,OIS,1Y,50.0
Delta,BRL,OIS,10Y,-20.0
Curvature,USD,OIS,1Y,400.0
Curvature,USD,OIS,5Y,-250.0
Curvature,USD,OIS,10Y,180.0
Curvature,EUR,OIS,2Y,300.0
Curvature,EUR,OIS,10Y,-200.0
Curvature,EUR,LIBOR6M,5Y,-100.0
Curvature,BRL,OIS,1Y,150.0
Curvature,BRL,OIS,10Y,-80.0
