ProductClass,RiskType,Qualifier,Bucket,Label1,Label2,Amount,AmountCurrency,AmountUSD
Credit,Risk_CreditQ,ISIN:BE0934259525,1,1y,USD,800000,USD,800000
Credit,Risk_CreditQ,ISIN:BE0934259525,1,2y,USD,-300000,USD,-300000
Credit,Risk_CreditQ,ISIN:CA112585AG91,2,2y,USD,180000,USD,180000
Credit,Risk_CreditQ,ISIN:CA112585AG91,2,2y,EUR,-180000,USD,-180000
Credit,Risk_CreditQ,ISIN:CA82028KAP62,3,3y,GBP,180000,USD,180000
Credit,Risk_CreditQ,ISIN:CA82028KAP62,3,5y,JPY,-100000,USD,-100000
Credit,Risk_CreditQ,ISIN:FR0000108359,4,5y,USD,180000,USD,180000
Credit,Risk_CreditQ,ISIN:FR0000108359,4,5y,USD,-100000,USD,-100000
Credit,Risk_CreditQ,ISIN:CH0010519475,5,10y,USD,180000,USD,180000
Credit,Risk_CreditQ,ISIN:CH9823105801,5,1y,USD,-100000,USD,-100000
Credit,Risk_CreditQ,ISIN:DE4830528795,6,2y,EUR,180000,USD,180000
Credit,Risk_CreditQ,ISIN:GB0862147969,7,3y,GBP,-500000,USD,-500000
Credit,Risk_CreditQ,ISIN:CA6515779866,8,5y,USD,-100000,USD,-100000
Credit,Risk_CreditQ,ISIN:FR0003335977,9,10y,USD,180000,USD,180000
Credit,Risk_CreditQ,ISIN:CA2201568701,10,1y,USD,-100000,USD,-100000
Credit,Risk_CreditQ,ISIN:CA6130123456,11,2y,USD,180000,USD,180000
Credit,Risk_CreditQ,ISIN:FR0002226543,12,3y,USD,-100000,USD,-100000
Credit,Risk_CreditQ,ISIN:UNKNOWN1,Residual,1y,USD,180000,USD,180000
Credit,Risk_CreditQ,ISIN:UNKNOWN1,Residual,3y,USD,-100000,USD,-100000
Credit,Risk_CreditQ,ISIN:UNKNOWN2,Residual,3y,EUR,180000,USD,180000
Credit,Risk_CreditQ,ISIN:UNKNOWN3,Residual,5y,USD,180000,USD,180000
Credit,Risk_CreditQ,ISIN:UNKNOWN3,Residual,10y,GBP,-100000,USD,-100000
Credit,Risk_BaseCorr,CDX IG,,,,500000,USD,500000
Credit,Risk_BaseCorr,CDX IG,,,,-200000,USD,-200000
Credit,Risk_BaseCorr,iTraxx Main,,,,400000,USD,400000
