policy,task,success_rate
RT-1,pick_coke_can,0.720
RT-1,move_near,0.680
RT-1,open_top_drawer,0.560
RT-1,close_top_drawer,0.610
RT-1,put_in_drawer,0.450
RT-1-X,pick_coke_can,0.780
RT-1-X,move_near,0.710
RT-1-X,open_top_drawer,0.630
RT-1-X,close_top_drawer,0.670
RT-1-X,put_in_drawer,0.520
Octo-Base,pick_coke_can,0.450
Octo-Base,move_near,0.390
Octo-Base,open_top_drawer,0.310
Octo-Base,close_top_drawer,0.350
Octo-Base,put_in_drawer,0.220
Octo-Small,pick_coke_can,0.380
Octo-Small,move_near,0.330
Octo-Small,open_top_drawer,0.270
Octo-Small,close_top_drawer,0.290
Octo-Small,put_in_drawer,0.180
RT-2-X,pick_coke_can,0.850
RT-2-X,move_near,0.790
RT-2-X,open_top_drawer,0.720
RT-2-X,close_top_drawer,0.760
RT-2-X,put_in_drawer,0.630
OpenVLA,pick_coke_can,0.650
OpenVLA,move_near,0.580
OpenVLA,open_top_drawer,0.490
OpenVLA,close_top_drawer,0.530
OpenVLA,put_in_drawer,0.380
SpatialVLA,pick_coke_can,0.710
SpatialVLA,move_near,0.640
SpatialVLA,open_top_drawer,0.550
SpatialVLA,close_top_drawer,0.590
SpatialVLA,put_in_drawer,0.440
DiffusionPolicy,pick_coke_can,0.550
DiffusionPolicy,move_near,0.480
DiffusionPolicy,open_top_drawer,0.410
DiffusionPolicy,close_top_drawer,0.440
DiffusionPolicy,put_in_drawer,0.300
