policy,task,success_rate
RT-1,pick_coke_can,0.62
RT-1,move_near,0.58
RT-1,open_top_drawer,0.46
RT-1,close_top_drawer,0.50
RT-1,put_in_drawer,0.36
RT-1-X,pick_coke_can,0.68
RT-1-X,move_near,0.61
RT-1-X,open_top_drawer,0.54
RT-1-X,close_top_drawer,0.57
RT-1-X,put_in_drawer,0.42
Octo-Base,pick_coke_can,0.38
Octo-Base,move_near,0.32
Octo-Base,open_top_drawer,0.24
Octo-Base,close_top_drawer,0.28
Octo-Base,put_in_drawer,0.16
Octo-Small,pick_coke_can,0.35
Octo-Small,move_near,0.30
Octo-Small,open_top_drawer,0.24
Octo-Small,close_top_drawer,0.26
Octo-Small,put_in_drawer,0.17
RT-2-X,pick_coke_can,0.76
RT-2-X,move_near,0.70
RT-2-X,open_top_drawer,0.63
RT-2-X,close_top_drawer,0.67
RT-2-X,put_in_drawer,0.53
OpenVLA,pick_coke_can,0.56
OpenVLA,move_near,0.49
OpenVLA,open_top_drawer,0.41
OpenVLA,close_top_drawer,0.45
OpenVLA,put_in_drawer,0.31
SpatialVLA,pick_coke_can,0.62
SpatialVLA,move_near,0.55
SpatialVLA,open_top_drawer,0.47
SpatialVLA,close_top_drawer,0.51
SpatialVLA,put_in_drawer,0.37
DiffusionPolicy,pick_coke_can,0.46
DiffusionPolicy,move_near,0.39
DiffusionPolicy,open_top_drawer,0.33
DiffusionPolicy,close_top_drawer,0.36
DiffusionPolicy,put_in_drawer,0.23
