policy,task,success_rate
RT-1,pick_coke_can,0.68
RT-1,move_near,0.65
RT-1,open_top_drawer,0.53
RT-1,close_top_drawer,0.58
RT-1,put_in_drawer,0.42
RT-1-X,pick_coke_can,0.75
RT-1-X,move_near,0.68
RT-1-X,open_top_drawer,0.60
RT-1-X,close_top_drawer,0.64
RT-1-X,put_in_drawer,0.49
Octo-Base,pick_coke_can,0.52
Octo-Base,move_near,0.46
Octo-Base,open_top_drawer,0.38
Octo-Base,close_top_drawer,0.42
Octo-Base,put_in_drawer,0.30
Octo-Small,pick_coke_can,0.45
Octo-Small,move_near,0.40
Octo-Small,open_top_drawer,0.34
Octo-Small,close_top_drawer,0.36
Octo-Small,put_in_drawer,0.25
RT-2-X,pick_coke_can,0.80
RT-2-X,move_near,0.73
RT-2-X,open_top_drawer,0.66
RT-2-X,close_top_drawer,0.70
RT-2-X,put_in_drawer,0.56
OpenVLA,pick_coke_can,0.63
OpenVLA,move_near,0.56
OpenVLA,open_top_drawer,0.48
OpenVLA,close_top_drawer,0.52
OpenVLA,put_in_drawer,0.37
SpatialVLA,pick_coke_can,0.69
SpatialVLA,move_near,0.62
SpatialVLA,open_top_drawer,0.54
SpatialVLA,close_top_drawer,0.58
SpatialVLA,put_in_drawer,0.43
DiffusionPolicy,pick_coke_can,0.52
DiffusionPolicy,move_near,0.45
DiffusionPolicy,open_top_drawer,0.39
DiffusionPolicy,close_top_drawer,0.42
DiffusionPolicy,put_in_drawer,0.28
