policy,task,success_rate
RT-1,pick_coke_can,0.71
RT-1,move_near,0.67
RT-1,open_top_drawer,0.55
RT-1,close_top_drawer,0.60
RT-1,put_in_drawer,0.44
RT-1-X,pick_coke_can,0.77
RT-1-X,move_near,0.70
RT-1-X,open_top_drawer,0.62
RT-1-X,close_top_drawer,0.66
RT-1-X,put_in_drawer,0.51
Octo-Base,pick_coke_can,0.42
Octo-Base,move_near,0.36
Octo-Base,open_top_drawer,0.28
Octo-Base,close_top_drawer,0.32
Octo-Base,put_in_drawer,0.19
Octo-Small,pick_coke_can,0.36
Octo-Small,move_near,0.31
Octo-Small,open_top_drawer,0.25
Octo-Small,close_top_drawer,0.27
Octo-Small,put_in_drawer,0.16
RT-2-X,pick_coke_can,0.84
RT-2-X,move_near,0.78
RT-2-X,open_top_drawer,0.71
RT-2-X,close_top_drawer,0.75
RT-2-X,put_in_drawer,0.62
OpenVLA,pick_coke_can,0.66
OpenVLA,move_near,0.59
OpenVLA,open_top_drawer,0.50
OpenVLA,close_top_drawer,0.54
OpenVLA,put_in_drawer,0.39
SpatialVLA,pick_coke_can,0.72
SpatialVLA,move_near,0.65
SpatialVLA,open_top_drawer,0.56
SpatialVLA,close_top_drawer,0.60
SpatialVLA,put_in_drawer,0.45
DiffusionPolicy,pick_coke_can,0.67
DiffusionPolicy,move_near,0.61
DiffusionPolicy,open_top_drawer,0.55
DiffusionPolicy,close_top_drawer,0.58
DiffusionPolicy,put_in_drawer,0.44
