policy,task,success_rate
RT-1,pick_coke_can,0.74
RT-1,move_near,0.71
RT-1,open_top_drawer,0.59
RT-1,close_top_drawer,0.64
RT-1,put_in_drawer,0.48
RT-1-X,pick_coke_can,0.81
RT-1-X,move_near,0.74
RT-1-X,open_top_drawer,0.66
RT-1-X,close_top_drawer,0.70
RT-1-X,put_in_drawer,0.55
Octo-Base,pick_coke_can,0.47
Octo-Base,move_near,0.41
Octo-Base,open_top_drawer,0.33
Octo-Base,close_top_drawer,0.37
Octo-Base,put_in_drawer,0.24
Octo-Small,pick_coke_can,0.40
Octo-Small,move_near,0.35
Octo-Small,open_top_drawer,0.29
Octo-Small,close_top_drawer,0.31
Octo-Small,put_in_drawer,0.20
RT-2-X,pick_coke_can,0.87
RT-2-X,move_near,0.81
RT-2-X,open_top_drawer,0.74
RT-2-X,close_top_drawer,0.78
RT-2-X,put_in_drawer,0.65
OpenVLA,pick_coke_can,0.68
OpenVLA,move_near,0.60
OpenVLA,open_top_drawer,0.52
OpenVLA,close_top_drawer,0.56
OpenVLA,put_in_drawer,0.40
SpatialVLA,pick_coke_can,0.73
SpatialVLA,move_near,0.66
SpatialVLA,open_top_drawer,0.57
SpatialVLA,close_top_drawer,0.61
SpatialVLA,put_in_drawer,0.46
DiffusionPolicy,pick_coke_can,0.58
DiffusionPolicy,move_near,0.50
DiffusionPolicy,open_top_drawer,0.44
DiffusionPolicy,close_top_drawer,0.47
DiffusionPolicy,put_in_drawer,0.32
