# Speciation Profile File
# Fields: PROFILE_CODE; POLLUTANT; SPECIES_ID; SPLIT_FACTOR; DIVISOR; MASS_FRACTION
# Profile 0001 - Default VOC speciation
0001; VOC; HCHO; 0.0100; 1.0; 0.0120
0001; VOC; ALD2; 0.0050; 1.0; 0.0070
0001; VOC; OLE; 0.0200; 1.0; 0.0250
0001; VOC; PAR; 0.4000; 1.0; 0.3500
0001; VOC; TOL; 0.1500; 1.0; 0.1800
0001; VOC; XYL; 0.0800; 1.0; 0.1000
0001; VOC; UNREACT; 0.2850; 1.0; 0.3050
# Profile 0002
0002; VOC; HCHO; 0.0150; 1.0; 0.0180
0002; VOC; ALD2; 0.0080; 1.0; 0.0110
0002; VOC; OLE; 0.0300; 1.0; 0.0380
0002; VOC; PAR; 0.3500; 1.0; 0.3000
0002; VOC; TOL; 0.2000; 1.0; 0.2400
0002; VOC; XYL; 0.1200; 1.0; 0.1500
0002; VOC; UNREACT; 0.2270; 1.0; 0.2430
# Profile 0003
0003; VOC; HCHO; 0.0180; 1.0; 0.0215
0003; VOC; ALD2; 0.0090; 1.0; 0.0125
0003; VOC; OLE; 0.0280; 1.0; 0.0355
0003; VOC; PAR; 0.3600; 1.0; 0.3100
0003; VOC; TOL; 0.1900; 1.0; 0.2280
0003; VOC; XYL; 0.1100; 1.0; 0.1375
0003; VOC; UNREACT; 0.2350; 1.0; 0.2550
# Profile 0004
0004; VOC; HCHO; 0.0200; 1.0; 0.0240
0004; VOC; ALD2; 0.0100; 1.0; 0.0140
0004; VOC; OLE; 0.0350; 1.0; 0.0440
0004; VOC; PAR; 0.3800; 1.0; 0.3300
0004; VOC; TOL; 0.1800; 1.0; 0.2160
0004; VOC; XYL; 0.1000; 1.0; 0.1250
0004; VOC; UNREACT; 0.2250; 1.0; 0.2510
# Profile 0005
0005; VOC; HCHO; 0.0300; 1.0; 0.0360
0005; VOC; ALD2; 0.0120; 1.0; 0.0170
0005; VOC; OLE; 0.0400; 1.0; 0.0500
0005; VOC; PAR; 0.4200; 1.0; 0.3700
0005; VOC; TOL; 0.1300; 1.0; 0.1560
0005; VOC; XYL; 0.0700; 1.0; 0.0875
0005; VOC; UNREACT; 0.2480; 1.0; 0.2835
# Profile 0006
0006; VOC; HCHO; 0.0250; 1.0; 0.0300
0006; VOC; ALD2; 0.0110; 1.0; 0.0150
0006; VOC; OLE; 0.0450; 1.0; 0.0565
0006; VOC; PAR; 0.4100; 1.0; 0.3600
0006; VOC; TOL; 0.1400; 1.0; 0.1680
0006; VOC; XYL; 0.0750; 1.0; 0.0940
0006; VOC; UNREACT; 0.2440; 1.0; 0.2765
# Profile 0007 (uses TOG pollutant after GSCNV conversion from VOC)
0007; TOG; HCHO; 0.0050; 1.0; 0.0060
0007; TOG; ALD2; 0.0030; 1.0; 0.0042
0007; TOG; UNREACT; 0.9420; 1.0; 0.9898
# Profile 0010 - Default NOX
0010; NOX; NO2; 1.0; 1.0; 1.0
# Profile 0011
0011; NOX; NO; 0.9; 1.0; 0.6522
0011; NOX; NO2; 0.1; 1.0; 0.3478
# Profile 0012
0012; NOX; NO; 0.8; 1.0; 0.5870
0012; NOX; NO2; 0.2; 1.0; 0.4130
# Profile 0020 - CO
0020; CO; CO; 1.0; 1.0; 1.0
# Profile 0030 - Default PM25
0030; PM25; PSO4; 0.1; 1.0; 0.1
0030; PM25; PNO3; 0.05; 1.0; 0.05
0030; PM25; PEC; 0.15; 1.0; 0.15
0030; PM25; POC; 0.25; 1.0; 0.25
0030; PM25; PMFINE; 0.45; 1.0; 0.45
# Profile 0031
0031; PM25; PSO4; 0.08; 1.0; 0.08
0031; PM25; PNO3; 0.04; 1.0; 0.04
0031; PM25; PEC; 0.20; 1.0; 0.20
0031; PM25; POC; 0.30; 1.0; 0.30
0031; PM25; PMFINE; 0.38; 1.0; 0.38
# Profile 0040 - Non-pollutant-specific fallback for SCC 2801500000
0040; SO2; SO2; 1.0; 1.0; 1.0
