scenario_id,Region_A,Region_B,Region_C,Region_D,Region_E,Region_F,Region_G,Region_H,probability
0,54.01,43.54,48.79,34.37,61.05,54.68,28.8,31.96,0.01
1,47.48,40.49,56.32,41.82,45.1,46.4,48.02,41.93,0.01
2,42.75,38.8,55.66,31.78,56.37,56.11,34.49,31.27,0.01
3,50.35,35.76,47.8,28.55,52.68,51.69,45.47,41.45,0.01
4,37.28,37.94,45.89,34.47,62.55,49.88,41.31,38.82,0.01
5,50.23,40.03,53.54,33.35,55.24,46.09,46.08,38.24,0.01
6,37.88,34.82,47.74,35.62,66.98,51.18,39.28,42.23,0.01
7,51.47,40.09,56.1,30.03,66.64,43.58,43.32,31.22,0.01
8,47.51,43.28,35.68,34.97,51.39,50.74,34.28,46.77,0.01
9,44.21,38.54,44.54,39.23,65.54,40.57,39.44,42.25,0.01
10,47.67,36.17,51.49,39.18,49.07,51.08,47.45,38.42,0.01
11,41.57,42.84,47.25,45.07,48.37,49.87,49.05,35.96,0.01
12,38.37,34.7,44.91,32.71,55.58,48.6,45.48,40.15,0.01
13,36.3,45.42,45.77,28.14,57.65,47.16,38.88,35.7,0.01
14,49.96,39.9,48.96,35.91,46.38,48.47,40.75,41.7,0.01
15,45.59,49.09,53.54,35.77,50.85,41.6,37.2,46.11,0.01
16,47.99,38.27,57.69,26.38,49.16,46.83,28.87,45.41,0.01
17,52.95,37.58,50.27,34.2,63.6,53.11,42.27,49.22,0.01
18,39.9,38.14,53.12,36.57,59.57,47.7,47.51,42.38,0.01
19,50.19,41.27,56.65,32.49,65.59,50.55,45.29,31.4,0.01
20,37.36,33.92,58.56,33.46,49.18,49.04,29.35,50.31,0.01
21,53.85,39.71,48.64,37.41,57.84,49.92,41.54,40.9,0.01
22,46.28,38.17,46.55,39.52,55.48,47.61,38.03,35.85,0.01
23,44.01,38.85,52.03,35.69,54.37,46.51,41.08,42.74,0.01
24,44.52,48.86,56.65,30.73,48.17,60.7,36.87,27.63,0.01
25,50.78,50.1,48.37,36.34,52.19,53.74,47.49,22.81,0.01
26,47.78,35.25,56.71,29.76,56.98,46.94,38.41,31.69,0.01
27,37.63,37.7,46.1,42.85,53.9,51.7,36.85,33.56,0.01
28,40.83,41.53,46.97,31.4,57.38,44.17,38.85,31.86,0.01
29,41.94,36.3,44.05,36.3,52.58,49.47,48.36,42.68,0.01
30,35.22,40.54,45.33,34.34,61.5,49.83,41.18,37.15,0.01
31,45.03,32.96,49.08,39.76,49.87,47.97,47.91,46.94,0.01
32,33.54,38.18,44.15,32.07,63.54,48.1,41.58,33.74,0.01
33,51.79,36.92,48.41,36.63,52.49,49.0,41.03,37.0,0.01
34,38.13,38.75,64.53,33.2,51.67,48.9,42.31,33.52,0.01
35,41.43,36.16,49.6,28.6,57.24,45.57,42.39,37.29,0.01
36,45.19,33.53,54.91,36.08,48.02,43.04,30.14,36.66,0.01
37,43.5,41.9,29.48,22.69,61.14,53.06,42.73,30.97,0.01
38,43.97,48.82,51.0,33.46,51.08,38.49,43.15,49.06,0.01
39,41.11,38.38,53.37,28.62,59.14,48.03,35.53,38.17,0.01
40,54.65,37.57,40.95,38.18,48.74,54.13,40.36,43.88,0.01
41,44.15,36.35,51.63,34.02,47.27,47.17,35.74,30.63,0.01
42,45.79,40.2,59.26,30.46,54.97,42.19,46.3,41.6,0.01
43,46.74,49.4,58.29,32.85,59.23,46.12,42.39,33.16,0.01
44,44.78,48.08,45.57,28.15,52.33,47.53,42.48,34.94,0.01
45,42.22,48.4,53.64,35.12,52.4,37.35,52.03,35.0,0.01
46,42.5,48.37,54.66,37.13,44.79,50.04,38.4,47.9,0.01
47,45.69,44.01,50.32,40.72,56.69,40.7,30.55,38.68,0.01
48,40.35,49.82,56.51,35.72,62.39,44.22,27.93,35.01,0.01
49,46.75,30.93,49.32,37.91,47.05,48.85,45.5,37.06,0.01
50,56.6,35.45,51.73,34.39,57.31,45.84,46.26,41.41,0.01
51,37.23,35.81,43.56,35.92,57.28,54.24,47.19,40.67,0.01
52,46.62,42.07,57.78,29.52,51.25,39.81,57.47,39.93,0.01
53,42.03,31.18,42.85,33.05,64.34,56.72,48.41,37.33,0.01
54,39.61,48.59,53.94,34.98,52.83,53.24,37.98,34.79,0.01
55,42.91,47.27,50.25,38.19,66.02,44.85,37.46,30.79,0.01
56,36.95,44.91,52.9,41.77,51.02,39.17,36.93,41.85,0.01
57,41.29,36.2,43.44,36.48,60.21,47.89,35.26,32.89,0.01
58,51.72,41.47,47.45,29.58,56.12,57.47,38.14,36.39,0.01
59,45.03,33.85,57.31,39.75,39.63,50.84,30.31,39.16,0.01
60,51.41,42.14,48.24,40.67,53.53,40.39,42.06,34.74,0.01
61,42.67,57.17,49.52,27.61,56.41,41.25,52.47,30.09,0.01
62,47.26,43.13,53.26,35.25,44.13,49.03,42.61,45.89,0.01
63,52.24,42.11,56.86,28.19,51.81,56.29,49.47,42.39,0.01
64,42.22,39.64,46.8,26.0,56.28,49.2,43.31,36.49,0.01
65,42.57,35.93,45.81,32.24,46.79,52.99,49.24,42.42,0.01
66,45.13,33.34,46.89,34.71,52.53,46.65,39.39,39.62,0.01
67,48.68,37.04,61.94,39.05,59.26,52.19,36.92,40.3,0.01
68,44.16,38.66,52.88,34.89,65.25,57.5,49.52,36.24,0.01
69,52.15,40.4,54.83,33.49,66.86,53.81,39.46,43.73,0.01
70,42.52,37.82,54.83,30.63,50.78,48.2,41.88,46.24,0.01
71,44.91,45.61,44.11,33.85,63.14,39.66,44.62,34.63,0.01
72,37.81,33.01,51.2,27.95,52.24,56.28,46.96,39.23,0.01
73,43.93,39.74,55.77,31.3,68.97,50.48,39.66,33.68,0.01
74,50.02,40.6,47.21,28.04,65.97,55.4,43.99,32.39,0.01
75,48.01,43.41,47.53,37.47,57.73,52.85,45.88,30.82,0.01
76,41.4,34.23,54.98,30.36,49.52,46.66,37.36,35.24,0.01
77,53.94,35.73,51.87,33.67,66.51,56.72,47.56,33.61,0.01
78,42.73,37.68,39.71,38.33,56.09,52.39,44.57,35.84,0.01
79,37.57,37.73,49.61,30.3,47.77,59.23,49.5,38.32,0.01
