contract_id,currency,fiscal_year,hedge_ratio,forward_rate,notional_usd,status,counterparty,execution_date
HC-2024-AUD-01,AUD,2024,0.60,0.665,2500000,active,JPMorgan,2023-11-15
HC-2025-AUD-01,AUD,2025,0.55,0.656,2800000,active,Citibank,2023-11-20
HC-2026-AUD-01,AUD,2026,0.50,0.648,3100000,active,JPMorgan,2023-12-01
HC-2027-AUD-01,AUD,2027,0.45,0.639,3400000,active,HSBC,2023-12-05
HC-2028-AUD-01,AUD,2028,0.40,0.630,3700000,active,Citibank,2023-12-10
HC-2024-GBP-01,GBP,2024,0.65,1.275,4200000,active,Barclays,2023-11-15
HC-2025-GBP-01,GBP,2025,0.60,1.256,4500000,active,HSBC,2023-11-20
HC-2026-GBP-01,GBP,2026,0.55,1.247,4800000,active,Barclays,2023-12-01
HC-2027-GBP-01,GBP,2027,0.50,1.238,5100000,active,HSBC,2023-12-05
HC-2028-GBP-01,GBP,2028,0.45,1.229,5400000,active,Barclays,2023-12-10
HC-2024-AUD-02,AUD,2024,0.40,0.670,1500000,cancelled,Deutsche Bank,2023-10-01
HC-2023-GBP-01,GBP,2023,0.70,1.245,3800000,expired,JPMorgan,2022-11-10
HC-2023-AUD-01,AUD,2023,0.65,0.675,2200000,expired,Citibank,2022-11-15
HC-2024-GBP-02,GBP,2024,0.50,1.268,3000000,cancelled,Deutsche Bank,2023-09-20
