order_id,customer_id,product_id,amount,order_date,status
1,101,1,29.99,2024-01-15,completed
2,102,2,49.99,2024-01-16,completed
3,101,3,15.00,2024-01-17,completed
4,103,1,29.99,2024-01-18,pending
5,102,4,89.99,2024-01-19,completed
6,104,2,49.99,2024-01-20,completed
7,101,5,199.99,2024-01-21,completed
8,105,3,15.00,2024-01-22,refunded
9,103,4,89.99,2024-01-23,completed
10,102,1,29.99,2024-01-24,completed
11,104,5,199.99,2024-01-25,completed
12,101,2,49.99,2024-01-26,completed
13,105,3,15.00,2024-01-27,pending
14,103,4,89.99,2024-01-28,completed
15,102,5,199.99,2024-01-29,completed
16,104,1,29.99,2024-01-30,completed
17,101,2,49.99,2024-01-31,completed
18,105,3,15.00,2024-02-01,completed
19,103,1,29.99,2024-02-02,refunded
20,102,4,89.99,2024-02-03,completed
