participant_id,solver,turbulence_model,grid_level,grid_nodes,mach,reynolds,alpha_deg,CL,CD,CM
P001,CFL3D,SA,Coarse,1000000,0.85,5000000,2.25,0.5040,0.02640,-0.1920
P001,CFL3D,SA,Medium,8000000,0.85,5000000,2.25,0.5010,0.02560,-0.1860
P001,CFL3D,SA,Fine,64000000,0.85,5000000,2.25,0.5000,0.02540,-0.1845
P002,FUN3D,SA,Coarse,1000000,0.85,5000000,2.25,0.5060,0.02700,-0.1950
P002,FUN3D,SA,Medium,8000000,0.85,5000000,2.25,0.5020,0.02580,-0.1870
P002,FUN3D,SA,Fine,64000000,0.85,5000000,2.25,0.5005,0.02550,-0.1850
P003,OVERFLOW,SST,Coarse,1000000,0.85,5000000,2.25,0.5080,0.02720,-0.1940
P003,OVERFLOW,SST,Medium,8000000,0.85,5000000,2.25,0.5025,0.02600,-0.1875
P003,OVERFLOW,SST,Fine,64000000,0.85,5000000,2.25,0.5008,0.02560,-0.1855
P004,elsA,SA,Coarse,1000000,0.85,5000000,2.25,0.5050,0.02650,-0.1930
P004,elsA,SA,Medium,8000000,0.85,5000000,2.25,0.5015,0.02570,-0.1865
P004,elsA,SA,Fine,64000000,0.85,5000000,2.25,0.5003,0.02550,-0.1848
P005,TAU,SA,Coarse,1000000,0.85,5000000,2.25,0.5070,0.02680,-0.1960
P005,TAU,SA,Medium,8000000,0.85,5000000,2.25,0.5020,0.02600,-0.1880
P005,TAU,SA,Fine,64000000,0.85,5000000,2.25,0.5005,0.02580,-0.1858
P006,SU2,SST,Coarse,1000000,0.85,5000000,2.25,0.5065,0.02590,-0.1900
P006,SU2,SST,Medium,8000000,0.85,5000000,2.25,0.5018,0.02575,-0.1855
P006,SU2,SST,Fine,64000000,0.85,5000000,2.25,0.5004,0.02580,-0.1870
P007,USM3D,SA,Coarse,1000000,0.85,5000000,2.25,0.5055,0.02660,-0.1935
P007,USM3D,SA,Medium,8000000,0.85,5000000,2.25,0.5015,0.02580,-0.1868
P007,USM3D,SA,Fine,64000000,0.85,5000000,2.25,0.5003,0.02560,-0.1850
P008,EDGE,SA,Coarse,1000000,0.85,5000000,2.25,0.5065,0.02700,-0.1945
P008,EDGE,SA,Medium,8000000,0.85,5000000,2.25,0.5018,0.02600,-0.1872
P008,EDGE,SA,Fine,64000000,0.85,5000000,2.25,0.5005,0.02575,-0.1853
P009,STAR-CCM+,SA,Coarse,1000000,0.85,5000000,2.25,0.5075,0.02760,-0.1955
P009,STAR-CCM+,SA,Medium,8000000,0.85,5000000,2.25,0.5022,0.02620,-0.1878
P009,STAR-CCM+,SA,Fine,64000000,0.85,5000000,2.25,0.5007,0.02585,-0.1857
P010,OpenFOAM,SST,Coarse,1000000,0.85,5000000,2.25,0.5090,0.02750,-0.1970
P010,OpenFOAM,SST,Medium,8000000,0.85,5000000,2.25,0.5030,0.02630,-0.1890
P010,OpenFOAM,SST,Fine,64000000,0.85,5000000,2.25,0.5010,0.02590,-0.1865
P011,PowerFLOW,SA,Coarse,1000000,0.85,5000000,2.25,0.5100,0.02780,-0.1985
P011,PowerFLOW,SA,Medium,8000000,0.85,5000000,2.25,0.5035,0.02640,-0.1898
P011,PowerFLOW,SA,Fine,64000000,0.85,5000000,2.25,0.5012,0.02600,-0.1872
P012,NSU3D,SA,Coarse,1000000,0.85,5000000,2.25,0.4920,0.02450,-0.1750
P012,NSU3D,SA,Medium,8000000,0.85,5000000,2.25,0.4975,0.02380,-0.1720
P012,NSU3D,SA,Fine,64000000,0.85,5000000,2.25,0.4990,0.02360,-0.1710
