Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
350.00000,1.0000000,15.581285,0.064179558,481.00304,545.18260,2.4322149,0.71885466,0.93681295,284.86323,7.3203770,17.487245,0.021163862,vapor
350.00000,3.0000000,49.901068,0.020039651,470.67204,530.79100,2.1948107,0.74642518,1.0414367,275.58322,7.2598486,17.878207,0.022479193,vapor
350.00000,5.0000000,89.619297,0.011158311,459.02252,514.81407,2.0642742,0.77739321,1.1875481,266.44753,7.1177753,18.479672,0.024321913,vapor
350.00000,7.0000000,136.81808,0.0073089755,445.65090,496.81373,1.9612851,0.81219525,1.4012323,257.88594,6.8467159,19.418998,0.027018299,vapor
350.00000,9.0000000,194.63500,0.0051378220,430.01069,476.25109,1.8674754,0.85073294,1.7262920,250.90347,6.3777390,20.931570,0.031111480,vapor
350.00000,9.0000000,194.63500,0.0051378220,430.01069,476.25109,1.8674754,0.85073294,1.7262920,250.90347,6.3777390,20.931570,0.031111480,supercritical
350.00000,9.0000000,194.63500,0.0051378220,430.01069,476.25109,1.8674754,0.85073294,1.7262920,250.90347,6.3777390,20.931570,0.031111480,supercritical
350.00000,11.000000,267.13002,0.0037434954,411.55122,452.72967,1.7751638,0.89052296,2.2128567,247.74040,5.6312433,23.447889,0.037250068,supercritical
350.00000,13.000000,355.71343,0.0028112518,390.59503,427.14130,1.6835110,0.92244875,2.7845306,252.99213,4.5877092,27.566316,0.045245435,supercritical
350.00000,15.000000,449.20353,0.0022261624,369.99376,403.38620,1.6013922,0.93439195,3.0687845,271.75728,3.4557606,33.318283,0.053057215,supercritical
350.00000,17.000000,528.86440,0.0018908438,353.18834,385.33268,1.5381388,0.93133658,2.9546923,301.60755,2.5403981,39.517583,0.059350452,supercritical
350.00000,19.000000,589.57495,0.0016961372,340.55253,372.77914,1.4920693,0.92446289,2.7269945,334.98827,1.9109308,45.161645,0.064517645,supercritical
350.00000,21.000000,635.82559,0.0015727583,330.90018,363.92810,1.4574648,0.91817360,2.5262458,367.56967,1.4851332,50.071214,0.068943753,supercritical
350.00000,23.000000,672.33246,0.0014873594,323.21695,357.42622,1.4301581,0.91335483,2.3714241,397.92328,1.1871249,54.367320,0.072831488,supercritical
350.00000,25.000000,702.21640,0.0014240624,316.86594,352.46750,1.4076802,0.90988866,2.2525279,425.96988,0.96858457,58.192516,0.076307594,supercritical
350.00000,27.000000,727.40872,0.0013747429,311.46040,348.57846,1.3885774,0.90746559,2.1592959,451.94661,0.80170521,61.655272,0.079461174,supercritical
350.00000,29.000000,749.14409,0.0013348567,306.75482,345.46566,1.3719457,0.90580994,2.0847478,476.10620,0.67028789,64.834201,0.082358075,supercritical
350.00000,31.000000,768.24712,0.0013016645,302.58534,342.93693,1.3571906,0.90471677,2.0240997,498.67805,0.56425765,67.786837,0.085047369,supercritical
350.00000,33.000000,785.28937,0.0012734159,298.83819,340.86092,1.3439038,0.90403994,1.9739627,519.86384,0.47698346,70.555918,0.087565946,supercritical
350.00000,35.000000,800.67962,0.0012489390,295.43176,339.14462,1.3317949,0.90367534,1.9318940,539.83759,0.40392129,73.173690,0.089941925,supercritical
350.00000,37.000000,814.71842,0.0012274179,292.30580,337.72026,1.3206513,0.90354805,1.8961111,558.74770,0.34186142,75.664881,0.092197075,supercritical
350.00000,39.000000,827.63215,0.0012082663,289.41477,336.53716,1.3103129,0.90360358,1.8652986,576.71989,0.28847990,78.048759,0.094348515,supercritical
350.00000,41.000000,839.59512,0.0011910503,286.72348,335.55654,1.3006568,0.90380186,1.8384731,593.86041,0.24205805,80.340574,0.096409916,supercritical
350.00000,43.000000,850.74407,0.0011754416,284.20418,334.74817,1.2915864,0.90411310,1.8148901,610.25908,0.20130056,82.552572,0.098392351,supercritical
350.00000,45.000000,861.18818,0.0011611864,281.83466,334.08805,1.2830249,0.90451498,1.7939778,625.99203,0.16521456,84.694723,0.10030491,supercritical
350.00000,47.000000,871.01593,0.0011480846,279.59683,333.55680,1.2749096,0.90499052,1.7752915,641.12404,0.13302705,86.775247,0.10215514,supercritical
350.00000,49.000000,880.29997,0.0011359764,277.47578,333.13862,1.2671894,0.90552674,1.7584807,655.71053,0.10412773,88.800997,0.10394938,supercritical
350.00000,51.000000,889.10072,0.0011247320,275.45907,332.82040,1.2598214,0.90611355,1.7432658,669.79919,0.078028467,90.777747,0.10569302,supercritical
