Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
220.00000	8.0000000	1181.7185	0.00084622524	82.052768	88.822570	0.53252881	0.97851054	1.9145280	992.55955	-0.15933893	254.29502	0.17888264	liquid
230.00000	8.0000000	1146.5444	0.00087218599	101.08307	108.06056	0.61804171	0.96433016	1.9349417	924.96907	-0.12460243	216.81637	0.16688343	liquid
240.00000	8.0000000	1109.4093	0.00090138056	120.35256	127.56360	0.70104091	0.95182201	1.9680675	857.08997	-0.078522912	185.50102	0.15510516	liquid
250.00000	8.0000000	1069.7034	0.00093483857	139.99924	147.47795	0.78232833	0.94120397	2.0181051	787.96568	-0.016569589	159.05974	0.14347935	liquid
260.00000	8.0000000	1026.5291	0.00097415653	160.21282	168.00607	0.86283158	0.93306920	2.0924710	716.27372	0.068847165	136.42664	0.13192496	liquid
270.00000	8.0000000	978.45784	0.0010220164	181.27976	189.45590	0.94377052	0.92881937	2.2059659	640.22192	0.19158769	116.67724	0.12033048	liquid
280.00000	8.0000000	922.91721	0.0010835208	203.69694	212.36511	1.0270655	0.93010143	2.3931435	557.44888	0.38109370	98.919244	0.10851157	liquid
290.00000	8.0000000	854.20209	0.0011706832	228.53044	237.89591	1.1166191	0.94218027	2.7633337	462.95544	0.71525951	82.048074	0.096103463	liquid
300.00000	8.0000000	753.16743	0.0013277260	259.33633	269.95814	1.2252095	0.98934195	3.9320080	343.66048	1.5028023	63.686401	0.082402298	liquid
310.00000	8.0000000	327.71209	0.0030514590	357.52744	381.93911	1.5905068	1.1499126	9.5864075	194.27773	7.3321223	24.022082	0.056777770	supercritical
320.00000	8.0000000	231.90895	0.0043120370	393.42989	427.92619	1.7369508	0.93635706	2.8749941	219.79558	7.9179163	20.547746	0.035191912	supercritical
330.00000	8.0000000	198.87353	0.0050283213	411.62760	451.85417	1.8106436	0.87713631	2.0593940	233.82505	7.5524047	20.013053	0.031060854	supercritical
340.00000	8.0000000	178.64725	0.0055976233	425.81512	470.59610	1.8666182	0.84757511	1.7274202	244.79399	7.0956637	19.954543	0.029483470	supercritical
350.00000	8.0000000	164.15559	0.0060917815	438.15299	486.88724	1.9138548	0.83105821	1.5463413	254.09818	6.6420221	20.082427	0.028847467	supercritical
360.00000	8.0000000	152.93153	0.0065388739	449.43175	501.74274	1.9557116	0.82137154	1.4326210	262.32496	6.2149722	20.304856	0.028672859	supercritical
370.00000	8.0000000	143.81828	0.0069532189	460.03331	515.65906	1.9938457	0.81579310	1.3552091	269.78083	5.8200293	20.581907	0.028762104	supercritical
380.00000	8.0000000	136.17908	0.0073432716	470.17339	528.91956	2.0292124	0.81294552	1.2997917	276.64859	5.4570265	20.893019	0.029017770	supercritical
390.00000	8.0000000	129.62590	0.0077145078	479.98649	541.70256	2.0624191	0.81202324	1.2587698	283.04877	5.1239802	21.226407	0.029385817	supercritical
400.00000	8.0000000	123.90489	0.0080707063	489.56231	554.12796	2.0938792	0.81251020	1.2277026	289.06614	4.8183818	21.574788	0.029833651	supercritical
410.00000	8.0000000	118.84108	0.0084145984	498.96363	566.28042	2.1238880	0.81405568	1.2038082	294.76300	4.5376760	21.933415	0.030340283	supercritical
420.00000	8.0000000	114.30884	0.0087482300	508.23601	578.22185	2.1526648	0.81641058	1.1852488	300.18674	4.2794445	22.299054	0.030891415	supercritical
430.00000	8.0000000	110.21498	0.0090731768	517.41350	589.99892	2.1803775	0.81939194	1.1707585	305.37441	4.0414714	22.669431	0.031476717	supercritical
440.00000	8.0000000	106.48856	0.0093906802	526.52211	601.64755	2.2071577	0.82286180	1.1594350	310.35555	3.8217582	23.042905	0.032087975	supercritical
450.00000	8.0000000	103.07433	0.0097017368	535.58206	613.19595	2.2331106	0.82671403	1.1506174	315.15422	3.6185164	23.418263	0.032716289	supercritical
460.00000	8.0000000	99.928460	0.010007159	544.60931	624.66659	2.2583221	0.83086561	1.1438103	319.79024	3.4301518	23.794593	0.033351625	supercritical
470.00000	8.0000000	97.015616	0.010307619	553.61663	636.07758	2.2828630	0.83525079	1.1386347	324.28021	3.2552457	24.171201	0.034043511	supercritical
480.00000	8.0000000	94.306905	0.010603677	562.61431	647.44373	2.3067928	0.83981694	1.1347964	328.63814	3.0925360	24.547552	0.034745734	supercritical
490.00000	8.0000000	91.778407	0.010895809	571.61072	658.77719	2.3301616	0.84452154	1.1320629	332.87602	2.9408995	24.923229	0.035456745	supercritical
500.00000	8.0000000	89.410107	0.011184418	580.61271	670.08805	2.3530127	0.84932997	1.1302488	337.00416	2.7993357	25.297905	0.036175232	supercritical
