FIX_ID,FIX_COMMITS_MERCURIAL,FIX_COMMITS_GIT,BUG_IDS,BUG_COMMITS_MERCURIAL,BUG_COMMITS_GIT,NO_FILE_SHARED,NEW_LINES_ONLY_FIX,REMOVE_LINES_ONLY_BUG,NO_BUG
60042,6b3b8bc177184292a184df8ffeb42b194c5fd059 b56716cd14742ea2f337302d222858ee87452a71 cffea444d17b7232d98b5be4c6060e80bc69091d,b5ee3adf0d2d87d8d28111008e98b818765daebb 7629228c8bf34109ccd79bfaaf843c0c2d49a004 a05d08642bfcd369775f17c8bd55d9bac9055355,60120,591acf3f48087d7d8513eeaaf3ac76295fa9b8ed,f6c38584b95b5b85cc256f92d2e54e714ac3e6c0,True,False,False,False
30001,619f666277980a87fe1b3b686cd97ace02c4e6d1 a3ec0018783b2623353d7c0ece746a362ac99407 c010ded709e87898127a81e454a53a5691855456,2cf5a2acc5210c5bfcf5fb29120c9018acd83978 ea2735c7d025d1dcd785f15e8e60729f73cf633d c9baa9b7c87f878de4fd47bb3d5f4172855c5cd9,30101 30102,64527864125af0d94ed6949bd83cf58043370042,95436527d68c4ad13770f94625736a14d0a74e47,False,False,False,False
70395,3e8831c737802799e8dd200d798eed4a7db7a9ba,8cdf6cfb6c5a5ca2e901f6a74b6648152409b762,70138,07bdd492dcaba16d057ddfeefe1271e6cbac7eb3 7a296c43c90df18fc4225b0bae84eee42b6e8ec9 115c89f1b94389c9c24b546798433e1ad06e482d 0cdf2938e9bba8d642cc307872862bc7c6db2661,e5525974eb3fe54e72046f1ccfbb0f78222670b9 2202f24344685d7d4a8c28cd1cf1024bcc01b37a 81bb286e76219d0c53eaafe09fe7e90b594ae3c6 88ffce4b6f00a36ae8eab64caa7aa8c1288e7858,False,False,False,False
60002,6051807b2fe7f2509b7d272fde7325a4289f41f8 d2f460d6c8e8adc36db695763eed104ad6204e8b c94ebdee0df3d85a3f5cbf2da8e2205f3aa3cf26,896121c2f969829ff1fb5307fe726f22094fe4f8 0f4dd12f3e50922537c289558bbb028eb42c6873 228c92cfe65f745a62e685a71e3258f0eeb2d148,60117,722c34fc57bc10b4a6f2793eb727595f33dc2c53 2d0a19068b5cbbef2b21ca1e96103c9883bc379f,b77d78ee243ac00f1f81e3ab97ddfa46166215b6 847aa07cf2ad2e771f1c7c3440e4a315aa39787b,True,False,False,False
60213,3c118bc514da54e6704441a59924322c25e162ab 81443e447218e4fce658e220de3621950b319ea1,3278a9f6d26b6dcc27a7f06794bdb04924eeeb58 996f46dcdab2fd3af115cbe72c25dfcc8229287a,60251,fd4764b8ed3bf0caf9e9f669e9b9c79a746e3585 b814d1e9e81f562422b84ba62d9b7128370ca210 fb80f7929155201ce9c6f14e944d987729173d08 e2e2b8e9c077f11480c962c2594ed9ec79663e9f,e125e93b36848bf149c395c0b8f5d5bf83749a56 5e5a2feeb75806881e802a20132b46e97004a06e 8897d32e70e4b16a12f1781a7a8d71ac5f00f3aa 8ef6fd68f22c08a58d5ed729226e351581c3543e,False,False,True,False
70042,ba48efebbfc9dda17258cdaa4a8070c91d85ae88 07ab28dee3d3c2c7598034337c991ccfc1bc1153,52bce74902975c91082ced35fdafcb3b278ffef7 877b8728a5d1ecb84d910c18a034dff289adce42,70488,140344235c8f889818bf705acd24e50160569697 148566e54d1ef43d190b14000f66b926a928d0af 9a6c7d58ebbea97b9c4794ac133924eaa725f6c6 a077a066b6cb193848c687ce02ef3cb8bc7a919e,af836d49c2d0172b159e8a8bb3d3c4bbadbfe926 77e5ae22ee143862ac09568e49a8617877d782aa dedecb4e24c640edaf1245ab3a6168bebf45a39f edb62b338c9bc955a124c51b0ccba6cdcb6879b9,False,False,False,False
10204,1bd50969848cf285dfb61b293fbedf2d74278962 d60020c3e7f385875bcf6d64b8a50bd285227704 c42eae0fc1ac9195cf65fc789faef11706e0294a,dee654cf24183da015f6b5d559dab4c79d378530 93508715d9283610dbae0f0614d8ebf5ffd682f8 594de7ab16d038a1f0520806e032c42c67a19330,10104,932e8db241728382a2e67cc338fd6c3fbe84c07e cc504cd0b756313ff424e0f9727c7a92c0a3f760 7700509c84893a57a6c6a0892d995ad35d3aafbd,a79b6fb69b428b0898c875f0b02e06759230d794 4c3594d451a6476281cd825e7f91797dc0f9b819 4425d6eebff68b1fdeca865e6b965c1871f5c89e,False,False,False,False
70244,bba89c4220aa2af1eb72343cd7f74ca54e7d6e19,f0f1ef5d6f281ee736c8bb282374d8ac49958722,70484,22b39dcb3d6ab112f6c4f4df3ee3945118fe2ade 274aae765227939d429c89862c24422e4f8472e3 8f36963744b215ca6a76603825c416c67a9b2464 0312d27c9fd57d4739ebe5efdb462fcf4094b596,fe9e3f4621ae5312d0bff53aba6c627b7d4ee947 cceb8db11dbce221a56295249bed4651f89e478e 779cab38615621f71e1aa727fc4a59df5889d685 291aa8c3fc4183d741498a5de5877067885e7729,False,False,False,False
50248,,,50010,bd6bfe2319b845bbb851ba1f60ecb5032b2174c5 8b25f6656885b4e3981221b3117629302fa8d988 768753d1801ec365421fbc8300b6418b6fdc3c22,759ca7fa0d6831ff92aa1759e089a36312ff16ff 48e52f4cdfd554e6464a668f4300018aa7cdaf3a 98b8c107b535656dd3ac0519973f34d573fd2674,,,False,False
70147,bb561a1f54a51059d0ea50189dc1b8889eccd120 742cf5f4ca82816f889237ff8441b4d0e9082ec9 e506045d1d77f81ad8bdaa5c9107c17c61d21ecc,78f7eea459df989fb717a60371f3946575fbb1b5 e0eef77891d91c910095c0ad180d6dce0991529a 02d77640b6294e6d65a4246d9e997c99105f21fd,70419,54a1cd87992cd950a021c932b2f4d9e5956762a4 505a4aca43a427a7575fb6f75e8066e90a3f5d99,42f02cbf523dc740c09151d3eba5b2ccdd3ec8fe 003544a993f34da0cc5e0d4121de355f6768bd35,False,False,False,False
