variables="log(y+)","u+"
zone,t="x=     0.97008"
  -0.104039E+01   0.911191E-01
  -0.739159E+00   0.182323E+00
  -0.562731E+00   0.273696E+00
  -0.437321E+00   0.365324E+00
  -0.339806E+00   0.457292E+00
  -0.259886E+00   0.549684E+00
  -0.192066E+00   0.642588E+00
  -0.133067E+00   0.736089E+00
  -0.807752E-01   0.830273E+00
  -0.337456E-01   0.925228E+00
   0.905151E-02   0.102104E+01
   0.483762E-01   0.111780E+01
   0.848055E-01   0.121560E+01
   0.118788E+00   0.131452E+01
   0.150679E+00   0.141466E+01
   0.180764E+00   0.151610E+01
   0.209279E+00   0.161894E+01
   0.236415E+00   0.172327E+01
   0.262336E+00   0.182919E+01
   0.287179E+00   0.193679E+01
   0.311059E+00   0.204616E+01
   0.334078E+00   0.215739E+01
   0.356322E+00   0.227059E+01
   0.377867E+00   0.238586E+01
   0.398778E+00   0.250328E+01
   0.419115E+00   0.262295E+01
   0.438927E+00   0.274497E+01
   0.458262E+00   0.286944E+01
   0.477159E+00   0.299645E+01
   0.495656E+00   0.312609E+01
   0.513785E+00   0.325846E+01
   0.531575E+00   0.339364E+01
   0.549053E+00   0.353172E+01
   0.566244E+00   0.367279E+01
   0.583169E+00   0.381692E+01
   0.599847E+00   0.396418E+01
   0.616298E+00   0.411463E+01
   0.632538E+00   0.426834E+01
   0.648582E+00   0.442536E+01
   0.664444E+00   0.458570E+01
   0.680137E+00   0.474940E+01
   0.695673E+00   0.491647E+01
   0.711062E+00   0.508688E+01
   0.726315E+00   0.526061E+01
   0.741440E+00   0.543761E+01
   0.756447E+00   0.561779E+01
   0.771343E+00   0.580105E+01
   0.786136E+00   0.598725E+01
   0.800833E+00   0.617624E+01
   0.815439E+00   0.636780E+01
   0.829960E+00   0.656171E+01
   0.844403E+00   0.675769E+01
   0.858772E+00   0.695544E+01
   0.873072E+00   0.715462E+01
   0.887307E+00   0.735486E+01
   0.901482E+00   0.755575E+01
   0.915599E+00   0.775688E+01
   0.929664E+00   0.795778E+01
   0.943679E+00   0.815801E+01
   0.957647E+00   0.835709E+01
   0.971571E+00   0.855456E+01
   0.985454E+00   0.874996E+01
   0.999298E+00   0.894285E+01
   0.101311E+01   0.913282E+01
   0.102688E+01   0.931948E+01
   0.104062E+01   0.950250E+01
   0.105434E+01   0.968158E+01
   0.106802E+01   0.985646E+01
   0.108168E+01   0.100270E+02
   0.109531E+01   0.101929E+02
   0.110892E+01   0.103542E+02
   0.112251E+01   0.105109E+02
   0.113608E+01   0.106628E+02
   0.114963E+01   0.108101E+02
   0.116316E+01   0.109528E+02
   0.117667E+01   0.110910E+02
   0.119017E+01   0.112249E+02
   0.120365E+01   0.113546E+02
   0.121712E+01   0.114802E+02
   0.123057E+01   0.116020E+02
   0.124402E+01   0.117201E+02
   0.125745E+01   0.118347E+02
