variables="x","y","mut"
zone, t="CFL3D"
 9.701266289E-01 2.499999994E-07 3.420370653E-10
 9.701266289E-01 7.502325730E-07 2.773843910E-08
 9.701266289E-01 1.251163098E-06 2.145569482E-07
 9.701266289E-01 1.753257607E-06 8.272916716E-07
 9.701266289E-01 2.256983180E-06 2.271837957E-06
 9.701266289E-01 2.762808435E-06 5.100990165E-06
 9.701266289E-01 3.271203923E-06 1.002461431E-05
 9.701266289E-01 3.782642807E-06 1.792264629E-05
 9.701266289E-01 4.297600753E-06 2.986111576E-05
 9.701266289E-01 4.816556611E-06 4.711143265E-05
 9.701266289E-01 5.339993095E-06 7.117322821E-05
 9.701266289E-01 5.868397693E-06 1.038010596E-04
 9.701266289E-01 6.402261988E-06 1.470354910E-04
 9.701266289E-01 6.942082109E-06 2.032387711E-04
 9.701266289E-01 7.488360552E-06 2.751359134E-04
 9.701266289E-01 8.041605724E-06 3.658616624E-04
 9.701266289E-01 8.602331945E-06 4.790138628E-04
 9.701266289E-01 9.171060810E-06 6.187142571E-04
 9.701266289E-01 9.748321645E-06 7.896774914E-04
 9.701266289E-01 1.033465105E-05 9.972892003E-04
 9.701266289E-01 1.093059564E-05 1.247694483E-03
 9.701266289E-01 1.153670928E-05 1.547897584E-03
 9.701266289E-01 1.215355496E-05 1.905874349E-03
 9.701266289E-01 1.278170748E-05 2.330700168E-03
 9.701266289E-01 1.342175074E-05 2.832691185E-03
 9.701266289E-01 1.407428044E-05 3.423566930E-03
 9.701266289E-01 1.473990324E-05 4.116630647E-03
 9.701266289E-01 1.541924030E-05 4.926971160E-03
 9.701266289E-01 1.611291918E-05 5.871691741E-03
 9.701266289E-01 1.682159018E-05 6.970164832E-03
 9.701266289E-01 1.754590994E-05 8.244314231E-03
 9.701266289E-01 1.828655331E-05 9.718939662E-03
 9.701266289E-01 1.904420787E-05 1.142206695E-02
 9.701266289E-01 1.981958121E-05 1.338534243E-02
 9.701266289E-01 2.061339183E-05 1.564447768E-02
 9.701266289E-01 2.142637823E-05 1.823973842E-02
 9.701266289E-01 2.225929893E-05 2.121647820E-02
 9.701266289E-01 2.311292883E-05 2.462574095E-02
 9.701266289E-01 2.398805918E-05 2.852491662E-02
 9.701266289E-01 2.488550672E-05 3.297846392E-02
 9.701266289E-01 2.580610453E-05 3.805871308E-02
 9.701266289E-01 2.675071119E-05 4.384671897E-02
 9.701266289E-01 2.772020343E-05 5.043318868E-02
 9.701266289E-01 2.871548350E-05 5.791953206E-02
 9.701266289E-01 2.973747905E-05 6.641893834E-02
 9.701266289E-01 3.078714144E-05 7.605753094E-02
 9.701266289E-01 3.186544200E-05 8.697564900E-02
 9.701266289E-01 3.297338844E-05 9.932913631E-02
 9.701266289E-01 3.411201033E-05 1.132907122E-01
 9.701266289E-01 3.528236630E-05 1.290514022E-01
 9.701266289E-01 3.648554775E-05 1.468220055E-01
 9.701266289E-01 3.772267155E-05 1.668345034E-01
 9.701266289E-01 3.899488729E-05 1.893434823E-01
 9.701266289E-01 4.030338459E-05 2.146275342E-01
 9.701266289E-01 4.164937127E-05 2.429905385E-01
 9.701266289E-01 4.303410969E-05 2.747626305E-01
 9.701266289E-01 4.445888044E-05 3.103012741E-01
 9.701266289E-01 4.592501136E-05 3.499916196E-01
 9.701266289E-01 4.743386671E-05 3.942469060E-01
 9.701266289E-01 4.898685074E-05 4.435081482E-01
 9.701266289E-01 5.058540773E-05 4.982433021E-01
 9.701266289E-01 5.223102562E-05 5.589460731E-01
 9.701266289E-01 5.392523599E-05 6.261335611E-01
 9.701266289E-01 5.566961045E-05 7.003434896E-01
 9.701266289E-01 5.746577517E-05 7.821305990E-01
 9.701266289E-01 5.931540363E-05 8.720620871E-01
 9.701266289E-01 6.122021296E-05 9.707118273E-01
 9.701266289E-01 6.318197120E-05 1.078654528E+00
 9.701266289E-01 6.520251191E-05 1.196458459E+00
 9.701266289E-01 6.728371227E-05 1.324677825E+00
 9.701266289E-01 6.942750770E-05 1.463844419E+00
 9.701266289E-01 7.163589180E-05 1.614459515E+00
 9.701266289E-01 7.391091640E-05 1.776984811E+00
 9.701266289E-01 7.625470607E-05 1.951834917E+00
 9.701266289E-01 7.866942906E-05 2.139369488E+00
 9.701266289E-01 8.115734818E-05 2.339886189E+00
 9.701266289E-01 8.372076263E-05 2.553615808E+00
 9.701266289E-01 8.636206621E-05 2.780718088E+00
 9.701266289E-01 8.908371092E-05 3.021279812E+00
 9.701266289E-01 9.188822878E-05 3.275314093E+00
 9.701266289E-01 9.477823914E-05 3.542762280E+00
 9.701266289E-01 9.775641956E-05 3.823498487E+00
 9.701266289E-01 1.008255422E-04 4.117334366E+00
 9.701266289E-01 1.039884592E-04 4.424026489E+00
 9.701266289E-01 1.072481246E-04 4.743286133E+00
 9.701266289E-01 1.106075651E-04 5.074786663E+00
 9.701266289E-01 1.140699023E-04 5.418178558E+00
 9.701266289E-01 1.176383594E-04 5.773095608E+00
 9.701266289E-01 1.213162541E-04 6.139167786E+00
 9.701266289E-01 1.251070062E-04 6.516033173E+00
 9.701266289E-01 1.290141663E-04 6.903344631E+00
 9.701266289E-01 1.330413361E-04 7.300781727E+00
 9.701266289E-01 1.371922699E-04 7.708054543E+00
 9.701266289E-01 1.414708386E-04 8.124914169E+00
 9.701266289E-01 1.458810293E-04 8.551155090E+00
 9.701266289E-01 1.504269312E-04 8.986620903E+00
 9.701266289E-01 1.551127643E-04 9.431203842E+00
 9.701266289E-01 1.599429088E-04 9.884848595E+00
 9.701266289E-01 1.649218466E-04 1.034755230E+01
 9.701266289E-01 1.700542198E-04 1.081936264E+01
 9.701266289E-01 1.753448014E-04 1.130037975E+01
 9.701266289E-01 1.807984954E-04 1.179075050E+01
 9.701266289E-01 1.864203950E-04 1.229066753E+01
 9.701266289E-01 1.922157098E-04 1.280036831E+01
 9.701266289E-01 1.981898677E-04 1.332013035E+01
 9.701266289E-01 2.043483837E-04 1.385026836E+01
 9.701266289E-01 2.106970205E-04 1.439113235E+01
 9.701266289E-01 2.172416571E-04 1.494310474E+01
 9.701266289E-01 2.239884052E-04 1.550659561E+01
 9.701266289E-01 2.309435367E-04 1.608204269E+01
 9.701266289E-01 2.381135128E-04 1.666990852E+01
 9.701266289E-01 2.455050126E-04 1.727067566E+01
 9.701266289E-01 2.531248902E-04 1.788484573E+01
 9.701266289E-01 2.609802759E-04 1.851294327E+01
 9.701266289E-01 2.690784459E-04 1.915549850E+01
 9.701266289E-01 2.774269378E-04 1.981306648E+01
 9.701266289E-01 2.860335226E-04 2.048620796E+01
 9.701266289E-01 2.949062036E-04 2.117549896E+01
 9.701266289E-01 3.040532465E-04 2.188152504E+01
 9.701266289E-01 3.134831495E-04 2.260488510E+01
 9.701266289E-01 3.232046729E-04 2.334617615E+01
 9.701266289E-01 3.332268971E-04 2.410601616E+01
 9.701266289E-01 3.435591352E-04 2.488501930E+01
 9.701266289E-01 3.542109625E-04 2.568381500E+01
 9.701266289E-01 3.651923325E-04 2.650302887E+01
