id,name,block_size,advice_status,size_for_estimate,size_factor,buffers_for_estimate,estd_physical_read_factor,estd_physical_reads,estd_physical_read_time,estd_pct_of_db_time_for_reads
1,DEFAULT,8192,ON,64,0.25,8192,5.42,4592847391,28472938,42.8
1,DEFAULT,8192,ON,128,0.50,16384,3.21,2719384712,16847293,25.3
1,DEFAULT,8192,ON,192,0.75,24576,1.89,1601293847,9847293,14.8
1,DEFAULT,8192,ON,256,1.00,32768,1.00,847293184,5284729,7.9
1,DEFAULT,8192,ON,320,1.25,40960,0.72,610291093,3847293,5.8
1,DEFAULT,8192,ON,384,1.50,49152,0.54,457537919,2847293,4.3
1,DEFAULT,8192,ON,448,1.75,57344,0.43,364336069,2284729,3.4
1,DEFAULT,8192,ON,512,2.00,65536,0.38,321971810,1984729,3.0
1,DEFAULT,8192,ON,576,2.25,73728,0.35,296553614,1847293,2.8
1,DEFAULT,8192,ON,640,2.50,81920,0.34,288079282,1784729,2.7
1,DEFAULT,8192,ON,704,2.75,90112,0.33,283606750,1747293,2.6
1,DEFAULT,8192,ON,768,3.00,98304,0.33,279559350,1724729,2.6
