name,block_size,advice_status,size_for_estimate_mb,buffers_for_estimate,estd_physical_read_factor,estd_physical_reads
DEFAULT,8192,ON,128,16384,4.20,264600000
DEFAULT,8192,ON,256,32768,2.50,157500000
DEFAULT,8192,ON,384,49152,1.55,97650000
DEFAULT,8192,ON,512,65536,1.00,63000000
DEFAULT,8192,ON,640,81920,0.78,49140000
DEFAULT,8192,ON,768,98304,0.60,37800000
DEFAULT,8192,ON,896,114688,0.50,31500000
DEFAULT,8192,ON,1024,131072,0.45,28350000
DEFAULT,8192,ON,1152,147456,0.42,26460000
DEFAULT,8192,ON,1280,163840,0.40,25200000
