sample_id,collection_date,arsenic_ug_l,qualifier
MW1-01,2023-01-15,12.0,
MW1-02,2023-01-29,14.3,
MW1-03,2023-02-12,9.8,
MW1-04,2023-02-26,13.5,
MW1-05,2023-03-12,10.5,
MW1-06,2023-03-26,15.2,
MW1-07,2023-04-09,11.3,
MW1-08,2023-04-23,13.0,
MW1-09,2023-05-07,16.0,
MW1-10,2023-05-21,10.9,
MW1-11,2023-06-04,14.0,
MW1-12,2023-06-18,11.0,
MW1-13,2023-07-02,12.5,
MW1-14,2023-07-16,14.8,
MW1-15,2023-07-30,9.1,
MW1-16,2023-08-13,13.2,
MW1-17,2023-08-27,11.5,
MW1-18,2023-09-10,12.8,
MW1-19,2023-09-24,12.3,
MW1-20,2023-10-08,14.5,
MW1-21,2023-10-22,10.2,
MW1-22,2023-11-05,13.8,
MW1-23,2023-11-19,11.8,
MW1-24,2023-12-03,12.2,
