monitoring_well,parameter,result_value,result_unit
MW-2,Trichloroethylene,3.6,ug/L
MW-2,Trichloroethylene,1.0,ug/L
MW-2,Trichloroethylene,7.8,ug/L
MW-2,Trichloroethylene,0.4,ug/L
MW-2,Trichloroethylene,5.2,ug/L
MW-2,Trichloroethylene,2.5,ug/L
MW-2,Trichloroethylene,12.0,ug/L
MW-2,Trichloroethylene,3.0,ug/L
MW-2,Trichloroethylene,0.8,ug/L
MW-2,Trichloroethylene,4.3,ug/L
MW-2,Trichloroethylene,1.7,ug/L
MW-2,Trichloroethylene,6.3,ug/L
MW-2,Trichloroethylene,35.0,ug/L
MW-2,Trichloroethylene,2.0,ug/L
MW-2,Trichloroethylene,9.5,ug/L
MW-2,Trichloroethylene,1.2,ug/L
MW-2,Trichloroethylene,4.8,ug/L
MW-2,Trichloroethylene,8.5,ug/L
MW-2,Trichloroethylene,2.8,ug/L
MW-2,Trichloroethylene,0.6,ug/L
MW-2,Trichloroethylene,14.5,ug/L
MW-2,Trichloroethylene,3.3,ug/L
MW-2,Trichloroethylene,10.8,ug/L
MW-2,Trichloroethylene,1.4,ug/L
MW-2,Trichloroethylene,22.0,ug/L
MW-2,Trichloroethylene,5.8,ug/L
MW-2,Trichloroethylene,7.0,ug/L
MW-2,Trichloroethylene,2.2,ug/L
MW-2,Trichloroethylene,17.0,ug/L
MW-2,Trichloroethylene,4.0,ug/L
