well_id,sample_date,lead_ug_l
MW-3,2023-01-10,<0.5
MW-3,2023-01-25,3.0
MW-3,2023-02-08,7.0
MW-3,2023-02-22,<1.0
MW-3,2023-03-08,12.0
MW-3,2023-03-22,2.5
MW-3,2023-04-05,<0.5
MW-3,2023-04-19,18.0
MW-3,2023-05-03,4.2
MW-3,2023-05-17,32.0
MW-3,2023-05-31,<2.0
MW-3,2023-06-14,8.5
MW-3,2023-06-28,15.0
MW-3,2023-07-12,<0.5
MW-3,2023-07-26,5.0
MW-3,2023-08-09,22.0
MW-3,2023-08-23,38.0
MW-3,2023-09-06,<1.0
MW-3,2023-09-20,3.5
MW-3,2023-10-04,28.0
MW-3,2023-10-18,10.0
MW-3,2023-11-01,<2.0
MW-3,2023-11-15,45.0
MW-3,2023-11-29,6.5
MW-3,2023-12-13,20.0
