EVENT,WAITS,TIME_WAITED_MICRO,AVG_WAIT_MICRO,WAIT_CLASS
db file sequential read,3500000,35000000000,10000,User I/O
latch: shared pool,800000,12000000000,15000,Concurrency
direct path read temp,200000,8000000000,40000,User I/O
direct path write temp,180000,7200000000,40000,User I/O
log file sync,500000,2500000000,5000,Commit
db file scattered read,150000,1500000000,10000,User I/O
latch: cache buffers chains,300000,1200000000,4000,Concurrency
buffer busy waits,100000,800000000,8000,Concurrency
log file parallel write,500000,750000000,1500,System I/O
control file sequential read,200000,400000000,2000,System I/O
SQL*Net message from client,5000000,180000000000,36000,Idle
SQL*Net message to client,5000000,50000000,10,Idle
