ID	GB_ACC	Species Scientific Name	Gene Symbol	Gene Title	ENTREZ_GENE_ID	RefSeq Transcript ID	Gene Ontology Biological Process	Gene Ontology Molecular Function
205199_at	NM_439320	Homo sapiens	CA9	carbonic anhydrase 9	768	NM_001216.3	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
210512_s_at	NM_360096	Homo sapiens	VEGFA	vascular endothelial growth factor A	7422	NM_001025366.3	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
200989_at	NM_107161	Homo sapiens	HIF1A	hypoxia inducible factor 1 subunit alpha	3091	NM_001530.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
221009_s_at	NM_373453	Homo sapiens	ANGPTL4	angiopoietin like 4	51129	NM_139314.3	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
218507_at	NM_502206	Homo sapiens	HILPDA	hypoxia inducible lipid droplet associated	29923	NM_013332.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
204014_at	NM_346961	Homo sapiens	DUSP4	dual specificity phosphatase 4	1846	NM_001394.7	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
202499_s_at	NM_568436	Homo sapiens	SLC2A3	solute carrier family 2 member 3	6515	NM_006931.3	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
218854_at	NM_890371	Homo sapiens	EPB41L5	erythrocyte membrane protein band 4.1 like 5	57669	NM_020909.3	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
205463_s_at	NM_379963	Homo sapiens	PDGFA	platelet derived growth factor subunit A	5154	NM_002607.5	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
219306_at	NM_445637	Homo sapiens	METTL7B	methyltransferase like 7B	196410	NM_152637.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
211372_s_at	NM_416613	Homo sapiens	IL1R2	interleukin 1 receptor type 2	7850	NM_001261419.2	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
209040_s_at	NM_710754	Homo sapiens	PSMB8	proteasome 20S subunit beta 8	5696	NM_148919.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
219389_at	NM_857997	Homo sapiens	SUSD2	sushi domain containing 2	56241	NM_019601.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
205862_at	NM_700705	Homo sapiens	GREB1	growth regulating estrogen receptor binding 1	9687	NM_014668.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
218468_s_at	NM_111991	Homo sapiens	GREM1	gremlin 1	26585	NM_013372.7	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
205020_s_at	NM_374258	Homo sapiens	AQP1	aquaporin 1	358	NM_198098.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
205352_at	NM_785436	Homo sapiens	SERPINI1	serpin family I member 1	5274	NM_005025.4	0006915 // apoptotic process // IEA /// 0007165 // signal transduction // IDA	0005515 // protein binding // IPI /// 0003677 // DNA binding // IDA
