Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,Experiment,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,Platform,Model,SRAStudy,BioProject,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Consent
SRR9900000,2024-01-15 00:00:00,2023-12-15 00:00:00,16866827,3373365400,0,200,3373,SRX8800000,OTHER,other,TRANSCRIPTOMIC,SINGLE,AFFYMETRIX,Affymetrix Human Genome U133 Plus 2.0,SRP099000,PRJNA999999,SRS7700000,SAMN00050000,simple,9606,Homo sapiens,PT001N,Mayo Clinic,public
SRR9900001,2024-01-15 00:00:00,2023-12-15 00:00:00,30214663,6042932600,0,200,6042,SRX8800001,OTHER,other,TRANSCRIPTOMIC,SINGLE,AFFYMETRIX,Affymetrix Human Genome U133 Plus 2.0,SRP099000,PRJNA999999,SRS7700001,SAMN00050001,simple,9606,Homo sapiens,PT001T,Mayo Clinic,public
SRR9900002,2024-01-15 00:00:00,2023-12-15 00:00:00,19427317,3885463400,0,200,3885,SRX8800002,OTHER,other,TRANSCRIPTOMIC,SINGLE,AFFYMETRIX,Affymetrix Human Genome U133 Plus 2.0,SRP099000,PRJNA999999,SRS7700002,SAMN00050002,simple,9606,Homo sapiens,PT002N,Mayo Clinic,public
SRR9900003,2024-01-15 00:00:00,2023-12-15 00:00:00,32221739,6444347800,0,200,6444,SRX8800003,OTHER,other,TRANSCRIPTOMIC,SINGLE,AFFYMETRIX,Affymetrix Human Genome U133 Plus 2.0,SRP099000,PRJNA999999,SRS7700003,SAMN00050003,simple,9606,Homo sapiens,PT002T,Mayo Clinic,public
SRR9900004,2024-01-15 00:00:00,2023-12-15 00:00:00,28939335,5787867000,0,200,5787,SRX8800004,OTHER,other,TRANSCRIPTOMIC,SINGLE,AFFYMETRIX,Affymetrix Human Genome U133 Plus 2.0,SRP099000,PRJNA999999,SRS7700004,SAMN00050004,simple,9606,Homo sapiens,PT003N,Mayo Clinic,public
SRR9900005,2024-01-15 00:00:00,2023-12-15 00:00:00,30327613,6065522600,0,200,6065,SRX8800005,OTHER,other,TRANSCRIPTOMIC,SINGLE,AFFYMETRIX,Affymetrix Human Genome U133 Plus 2.0,SRP099000,PRJNA999999,SRS7700005,SAMN00050005,simple,10090,Mus musculus,PT003T,Mayo Clinic,public
SRR9900006,2024-01-15 00:00:00,2023-12-15 00:00:00,33921719,6784343800,0,200,6784,SRX8800006,OTHER,other,TRANSCRIPTOMIC,SINGLE,AFFYMETRIX,Affymetrix Human Genome U133 Plus 2.0,SRP099000,PRJNA999999,SRS7700006,SAMN00050006,simple,9606,Homo sapiens,PT004N,Mayo Clinic,public
SRR9900007,2024-01-15 00:00:00,2023-12-15 00:00:00,16937324,3387464800,0,200,3387,SRX8800007,OTHER,other,TRANSCRIPTOMIC,SINGLE,AFFYMETRIX,Affymetrix Human Genome U133 Plus 2.0,SRP099000,PRJNA999999,SRS7700007,SAMN00050007,simple,9606,Homo sapiens,PT004T,Mayo Clinic,public
SRR9900008,2024-01-15 00:00:00,2023-12-15 00:00:00,33750122,6750024400,0,200,6750,SRX8800008,OTHER,other,TRANSCRIPTOMIC,SINGLE,AFFYMETRIX,Affymetrix Human Genome U133 Plus 2.0,SRP099000,PRJNA999999,SRS7700008,SAMN00050008,simple,9606,Homo sapiens,PT005N,Mayo Clinic,public
SRR9900009,2024-01-15 00:00:00,2023-12-15 00:00:00,30514841,6102968200,0,200,6102,SRX8800009,OTHER,other,TRANSCRIPTOMIC,SINGLE,AFFYMETRIX,Affymetrix Human Genome U133 Plus 2.0,SRP099000,PRJNA999999,SRS7700009,SAMN00050009,simple,9606,Homo sapiens,PT005T,Mayo Clinic,public
