id	pos	best	average	competition_id	round_type_id	event_id	person_name	person_id	format_id	regional_single_record	regional_average_record	person_country_id
55180	1	22	0	BarcelonaOpen2009	f	333fm	Jimmy Coll	2006COLL01	1	WR	NULL	Belgium
135044	1	22	0	CzechOpen2010	f	333fm	István Kocza	2005KOCZ01	1	WR	NULL	Hungary
141111	1	24	0	USNationals2010	f	333fm	Clément Gallet	2004GALL02	2	NR	NULL	France
150340	1	25	0	EstonianOpen2010	f	333fm	Teemu Tiinanen	2007TIIN01	1	NR	NULL	Finland
164515	1	24	0	DutchNationals2010	f	333fm	Sébastien Auroux	2008AURO01	1	NR	NULL	Germany
199947	1	25	0	BelgianOpen2011	f	333fm	Ron van Bruchem	2003BRUC01	1	NR	NULL	Netherlands
271558	1	24	0	Altbier2012	f	333fm	Erik Akkersdijk	2005AKKE01	2	NR	NULL	Netherlands
272966	1	25	-1	TwenteOpen2012	f	333fm	Guus Razoux Schultz	1982RAZO01	3	NULL	NULL	Netherlands
294051	1	25	3067	PKUFM2012	f	333fm	Baiqiang Dong (董百强)	2008DONG06	3	AsR	NULL	China
305266	1	24	0	SaarlandOpen2012	f	333fm	Tim Reynolds	2005REYN01	1	NAR	NULL	USA
305267	2	25	0	SaarlandOpen2012	f	333fm	Sébastien Auroux	2008AURO01	1	NULL	NULL	Germany
307893	1	20	0	CzechOpen2012	f	333fm	Tomoaki Okayama (岡山友昭)	2009OKAY01	2	WR	NULL	Japan
326296	1	24	-1	MovesN00bs2012	f	333fm	Erik Akkersdijk	2005AKKE01	3	NR	NULL	Netherlands
331845	1	24	0	JapanOpen2012	f	333fm	Yu Nakajima (中島悠)	2007NAKA03	1	NULL	NULL	Japan
337935	1	25	0	MunichOpen2012	f	333fm	Sébastien Auroux	2008AURO01	1	NULL	NULL	Germany
353294	1	25	0	BerkeleyAutumn2012	f	333fm	Shotaro Makisumi (牧角章太郎)	2003MAKI01	1	NULL	NULL	Japan
385718	1	25	0	MontrealOpen2013	f	333fm	Joon Cha (차준혁)	2012CHAJ01	1	NR	NULL	Korea
392555	1	21	0	BWOpen2013	f	333fm	Moritz Karl	2008KARL02	2	ER	NULL	Germany
397058	1	23	0	GermanOpen2013	f	333fm	Adrian Lehmann	2010LEHM02	2	NULL	NULL	Germany
405682	1	23	2600	BerlinOpen2013	f	333fm	Sébastien Auroux	2008AURO01	3	NULL	WR	Germany
428316	1	25	0	WC2013	f	333fm	Steven Xu	2007XUST01	2	NULL	NULL	USA
433348	1	25	0	TachikawaFest2013	f	333fm	Tomoaki Okayama (岡山友昭)	2009OKAY01	1	NULL	NULL	Japan
441244	1	25	3033	CubeCampKanazawa2013	f	333fm	Yuki Tanaka (田中悠樹)	2010TANA02	3	NULL	NULL	Japan
446554	1	23	2567	VilladeCatral2013	f	333fm	Sébastien Auroux	2008AURO01	3	NULL	WR	Germany
448484	1	25	0	SHOpen2013	f	333fm	Sébastien Auroux	2008AURO01	1	NULL	NULL	Germany
458461	1	25	0	MadridOpen2013	f	333fm	Bence Barát	2008BARA01	2	NULL	NULL	Hungary
475388	1	24	0	SpanishChampionships2013	f	333fm	Javier Cabezuelo Sánchez	2007SANC01	2	NR	NULL	Spain
481013	1	24	0	HasseltOpen2013	f	333fm	Sébastien Auroux	2008AURO01	2	NULL	NULL	Germany
486411	1	24	0	TwenteOpen2013	f	333fm	Erik Akkersdijk	2005AKKE01	2	NR	NULL	Netherlands
521105	1	24	0	FrankfurtCubeDays2014	f	333fm	Laura Ohrndorf	2009OHRN01	1	NULL	NULL	Germany
521106	1	24	0	FrankfurtCubeDays2014	f	333fm	Sébastien Auroux	2008AURO01	1	NULL	NULL	Germany
522347	1	24	3033	MolinaOpen2014	f	333fm	Tomoaki Okayama (岡山友昭)	2009OKAY01	m	NULL	NULL	Japan
533673	1	25	0	UniversityofNottingham2014	f	333fm	Daniel Sheppard	2009SHEP01	1	NR	NULL	United Kingdom
536153	1	23	0	HamburgOpen2014	f	333fm	Sébastien Auroux	2008AURO01	2	NULL	NULL	Germany
543170	1	24	0	HessenOpen2014	f	333fm	Sébastien Auroux	2008AURO01	1	NULL	NULL	Germany
560318	1	25	2800	VelbertEasterOpen2014	f	333fm	Marcel Peters	2012PETE03	m	NULL	NULL	Germany
560328	1	21	2500	VelbertEasterOpen2014	1	333fm	Sébastien Auroux	2008AURO01	m	ER	WR	Germany
560329	2	24	2667	VelbertEasterOpen2014	1	333fm	Marcel Peters	2012PETE03	m	NULL	NULL	Germany
570625	1	24	2733	OxfordOpen2014	f	333fm	Daniel Sheppard	2009SHEP01	m	NR	NR	United Kingdom
573302	1	25	3733	KirkkonummiOpen2014	f	333fm	Sakari Rautalin	2012RAUT01	m	NR	NR	Finland
