scramble	id	competition_id	event_id	group_id	is_extra	round_type_id	scramble_num
D2 B D2 U2 F' R2 F' U2 F D2 R' B' D2 F R' U' B' D2 B2 D2	433	HessenOpen2014	333fm	A	0	f	1
R2 D' U' B2 R2 D L2 D2 B' L2 B2 R' U B U2 L D B	1203	SheppartonAutumn2014	333fm	A	0	f	1
F2 R F U2 D' B' R2 U2 D' L D2 B U2 L2 D2 B L2 B' U2 F2	1539	FariaBritoOpen2014	333fm	A	0	f	1
U2 F2 U2 R2 D2 F2 R' D2 B2 L U F D' B2 D' B L' R	1764	KansaiOpen2014	333fm	A	0	f	1
U2 B2 R' U' D F' B' L D' F2 D' B2 R2 B2 L2 F D2 R2 B' U2	1852	ZonhovenOpen2014	333fm	A	0	f	1
L F2 R' F2 R' U2 L B2 D U' L' B2 R B' U2 B2 L' D F	1853	ZonhovenOpen2014	333fm	A	0	f	2
F' D2 F' L2 D2 R2 U2 R2 F2 L2 U B' F2 L B U F L R2	3137	CMIFiestaOpen2014	333fm	A	0	f	1
D2 U2 L B2 F2 L2 R2 B D2 F' D' U2 R2 B U' B D2 B	3138	CMIFiestaOpen2014	333fm	A	0	f	2
U2 B2 F' D2 B2 L2 B' D2 R2 D2 R2 D F' L' D L F R' U' R' B	3139	CMIFiestaOpen2014	333fm	A	0	f	3
U2 L B2 D2 F2 L D2 R2 U2 R U F L2 F' R2 B2 F' L' D F	3634	KharkivSpecial2014	333fm	A	0	f	1
U2 R2 B2 L B2 U2 L' R U F R U2 L2 F R F2 D L' F'	3635	KharkivSpecial2014	333fm	A	0	f	2
D2 L2 R U2 R' U2 F2 R' U2 B U B2 F' L U R F U' L	3636	KharkivSpecial2014	333fm	A	0	f	3
B2 R D2 R' U2 L2 D2 R' U2 R' F' R2 U B2 L' D' L2 R F	4707	MadridSpringOpen2014	333fm	A	0	f	1
R2 U B2 L2 D R2 D F' L' R' B R2 U2 B R D' F2 L	4784	DixonSpring2014	333fm	A	0	f	1
U' F2 D' L U R U R2 F L2 B U' B2 U2 D F2 R2 U2 F2 B2	4785	DixonSpring2014	333fm	A	0	f	2
F' R D' F L U' D L B' R' U2 F2 R2 F2 U' R2 L2 U' R2 U'	4786	DixonSpring2014	333fm	A	0	f	3
B D2 L2 D2 B' F2 L2 B2 U F L2 D' R' D2 L U' B D' B'	5080	TulaOpen2014	333fm	A	0	f	1
R2 B2 D L' D2 F' R B U' F' D' R2 F R2 F2 U2 R2 F	6100	TelesisBlindfoldOpen2014	333fm	A	0	f	1
L' F2 L B' R D' R2 B R2 B' L' U D2 R2 L2 B2 R2 D' B2	6101	TelesisBlindfoldOpen2014	333fm	A	0	f	2
