event_id,item_id,order_id,product_id,quantity,unit_price_cents,event_timestamp
evt_001,1,1,201,2,2000,2024-01-15 10:00:00
evt_002,2,1,202,1,5000,2024-01-15 10:01:00
evt_003,3,2,201,3,2500,2024-01-15 11:00:00
evt_001,1,1,201,2,2000,2024-01-15 10:05:00
evt_004,4,3,203,1,4000,2024-01-16 09:00:00
evt_005,5,4,201,2,2000,2024-01-16 14:00:00
evt_006,6,5,202,2,5000,2024-01-17 08:00:00
evt_003,3,2,201,3,2500,2024-01-15 11:30:00
evt_007,7,6,203,1,3000,2024-01-17 12:00:00
evt_008,8,7,201,2,3500,2024-01-18 10:00:00
evt_009,9,8,202,1,5000,2024-01-18 15:00:00
