reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.01,18175
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.025,19507
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.05,20158
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.1,21528
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.15,22323
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.2,22636
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.25,22927
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.3,23568
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.35,23982
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.4,24755
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.45,24755
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.5,25487
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.55,25730
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.6,26034
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.65,26612
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.7,27186
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.75,27337
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.8,27696
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.85,28655
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.9,28868
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.95,30233
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.975,31148
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.99,32344
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.01,2261
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.025,2385
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.05,2481
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.1,2597
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.15,2751
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.2,2813
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.25,2922
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.3,3008
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.35,3071
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.4,3071
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.45,3113
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.5,3215
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.55,3275
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.6,3289
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.65,3381
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.7,3391
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.75,3484
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.8,3495
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.85,3647
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.9,3772
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.95,3935
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.975,3953
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.99,4111
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.01,1233
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.025,1294
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.05,1386
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.1,1457
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.15,1508
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.2,1605
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.25,1605
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.3,1624
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.35,1655
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.4,1744
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.45,1758
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.5,1784
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.55,1814
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.6,1847
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.65,1884
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.7,1913
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.75,1967
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.8,2000
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.85,2048
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.9,2152
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.95,2227
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.975,2278
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.99,2376
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.01,1743
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.025,1888
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.05,1988
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.1,2153
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.15,2241
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.2,2291
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.25,2361
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.3,2381
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.35,2421
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.4,2494
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.45,2526
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.5,2582
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.55,2609
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.6,2622
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.65,2754
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.7,2768
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.75,2823
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.8,2858
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.85,2947
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.9,2967
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.95,3073
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.975,3208
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.99,3342
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.01,12800
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.025,14746
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.05,15645
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.1,17332
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.15,18422
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.2,19160
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.25,19396
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.3,20028
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.35,20392
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.4,21073
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.45,21484
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.5,22004
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.55,22682
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.6,23358
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.65,23403
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.7,23777
