reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.01,4481
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.025,7660
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.05,10276
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.1,14004
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.15,16632
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.2,18037
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.25,18243
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.3,21127
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.35,21731
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.4,23709
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.45,24059
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.5,25473
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.55,26258
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.6,27610
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.65,28112
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.7,29951
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.75,30950
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.8,32710
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.85,33781
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.9,36742
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.95,39840
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.975,42681
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.99,46249
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.01,486
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.025,788
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.05,1208
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.1,1722
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.15,1847
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.2,2146
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.25,2462
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.3,2589
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.35,2741
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.4,2831
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.45,3024
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.5,3179
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.55,3242
