reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.01,21129
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.025,22995
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.05,24216
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.1,26182
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.15,27698
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.2,28591
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.25,29602
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.3,30354
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.35,30880
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.4,31535
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.45,32293
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.5,32989
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.55,33165
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.6,34104
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.65,34408
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.7,34999
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.75,35991
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.8,37323
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.85,37923
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.9,39419
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.95,41075
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.975,42539
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.99,44420
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.01,2347
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.025,2589
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.05,2744
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.1,2965
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.15,3163
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.2,3185
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.25,3272
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.3,3386
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.35,3468
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.4,3519
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.45,3519
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.5,3656
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.55,3733
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.6,3853
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.65,3903
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.7,4040
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.75,4078
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.8,4136
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.85,4274
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.9,4435
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.95,4609
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.975,4816
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.99,5010
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.01,1236
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.025,1350
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.05,1381
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.1,1503
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.15,1573
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.2,1626
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.25,1704
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.3,1727
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.35,1764
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.4,1793
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.45,1827
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.5,1867
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.55,1893
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.6,1915
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.65,1975
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.7,2035
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.75,2089
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.8,2116
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.85,2169
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.9,2213
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.95,2311
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.975,2410
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.99,2513
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.01,1871
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.025,2014
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.05,2179
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.1,2355
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.15,2445
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.2,2558
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.25,2651
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.3,2681
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.35,2779
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.4,2845
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.45,2958
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.5,2958
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.55,3055
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.6,3065
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.65,3081
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.7,3187
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.75,3243
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.8,3331
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.85,3419
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.9,3568
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.95,3708
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.975,3831
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.99,4057
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.01,18363
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.025,20097
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.05,22366
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.1,24243
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.15,24747
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.2,25481
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.25,26622
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.3,27289
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.35,27937
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.4,28391
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.45,29365
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.5,29632
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.55,30220
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.6,30704
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.65,31991
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.7,32410
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.75,33189
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.8,34354
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.85,34706
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.9,36024
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.95,37537
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.975,39156
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.99,40960
2024-01-06,wk inc flu hosp,1,2024-01-13,06,quantile,0.01,1961
2024-01-06,wk inc flu hosp,1,2024-01-13,06,quantile,0.025,2316
2024-01-06,wk inc flu hosp,1,2024-01-13,06,quantile,0.05,2427
2024-01-06,wk inc flu hosp,1,2024-01-13,06,quantile,0.1,2473
2024-01-06,wk inc flu hosp,1,2024-01-13,06,quantile,0.15,2727
2024-01-06,wk inc flu hosp,1,2024-01-13,06,quantile,0.2,2804
2024-01-06,wk inc flu hosp,1,2024-01-13,06,quantile,0.25,2886
2024-01-06,wk inc flu hosp,1,2024-01-13,06,quantile,0.3,2996
2024-01-06,wk inc flu hosp,1,2024-01-13,06,quantile,0.35,3081
2024-01-06,wk inc flu hosp,1,2024-01-13,06,quantile,0.4,3096
2024-01-06,wk inc flu hosp,1,2024-01-13,06,quantile,0.45,3255
2024-01-06,wk inc flu hosp,1,2024-01-13,06,quantile,0.5,3334
2024-01-06,wk inc flu hosp,1,2024-01-13,06,quantile,0.55,3464
2024-01-06,wk inc flu hosp,1,2024-01-13,06,quantile,0.6,3464
2024-01-06,wk inc flu hosp,1,2024-01-13,06,quantile,0.65,3503
2024-01-06,wk inc flu hosp,1,2024-01-13,06,quantile,0.7,3608
2024-01-06,wk inc flu hosp,1,2024-01-13,06,quantile,0.75,3719
2024-01-06,wk inc flu hosp,1,2024-01-13,06,quantile,0.8,3762
2024-01-06,wk inc flu hosp,1,2024-01-13,06,quantile,0.85,3881
2024-01-06,wk inc flu hosp,1,2024-01-13,06,quantile,0.9,4008
2024-01-06,wk inc flu hosp,1,2024-01-13,06,quantile,0.95,4134
2024-01-06,wk inc flu hosp,1,2024-01-13,06,quantile,0.975,4387
2024-01-06,wk inc flu hosp,1,2024-01-13,06,quantile,0.99,4596
2024-01-06,wk inc flu hosp,1,2024-01-13,36,quantile,0.01,1051
2024-01-06,wk inc flu hosp,1,2024-01-13,36,quantile,0.025,1149
2024-01-06,wk inc flu hosp,1,2024-01-13,36,quantile,0.05,1259
2024-01-06,wk inc flu hosp,1,2024-01-13,36,quantile,0.1,1373
2024-01-06,wk inc flu hosp,1,2024-01-13,36,quantile,0.15,1412
2024-01-06,wk inc flu hosp,1,2024-01-13,36,quantile,0.2,1475
2024-01-06,wk inc flu hosp,1,2024-01-13,36,quantile,0.25,1491
2024-01-06,wk inc flu hosp,1,2024-01-13,36,quantile,0.3,1548
2024-01-06,wk inc flu hosp,1,2024-01-13,36,quantile,0.35,1594
2024-01-06,wk inc flu hosp,1,2024-01-13,36,quantile,0.4,1642
2024-01-06,wk inc flu hosp,1,2024-01-13,36,quantile,0.45,1671
2024-01-06,wk inc flu hosp,1,2024-01-13,36,quantile,0.5,1712
2024-01-06,wk inc flu hosp,1,2024-01-13,36,quantile,0.55,1712
2024-01-06,wk inc flu hosp,1,2024-01-13,36,quantile,0.6,1754
2024-01-06,wk inc flu hosp,1,2024-01-13,36,quantile,0.65,1769
2024-01-06,wk inc flu hosp,1,2024-01-13,36,quantile,0.7,1826
2024-01-06,wk inc flu hosp,1,2024-01-13,36,quantile,0.75,1903
2024-01-06,wk inc flu hosp,1,2024-01-13,36,quantile,0.8,1917
2024-01-06,wk inc flu hosp,1,2024-01-13,36,quantile,0.85,1969
2024-01-06,wk inc flu hosp,1,2024-01-13,36,quantile,0.9,2052
2024-01-06,wk inc flu hosp,1,2024-01-13,36,quantile,0.95,2142
2024-01-06,wk inc flu hosp,1,2024-01-13,36,quantile,0.975,2251
2024-01-06,wk inc flu hosp,1,2024-01-13,36,quantile,0.99,2318
2024-01-06,wk inc flu hosp,1,2024-01-13,48,quantile,0.01,1595
2024-01-06,wk inc flu hosp,1,2024-01-13,48,quantile,0.025,1692
2024-01-06,wk inc flu hosp,1,2024-01-13,48,quantile,0.05,1851
2024-01-06,wk inc flu hosp,1,2024-01-13,48,quantile,0.1,1994
2024-01-06,wk inc flu hosp,1,2024-01-13,48,quantile,0.15,2169
2024-01-06,wk inc flu hosp,1,2024-01-13,48,quantile,0.2,2239
2024-01-06,wk inc flu hosp,1,2024-01-13,48,quantile,0.25,2316
2024-01-06,wk inc flu hosp,1,2024-01-13,48,quantile,0.3,2395
2024-01-06,wk inc flu hosp,1,2024-01-13,48,quantile,0.35,2401
2024-01-06,wk inc flu hosp,1,2024-01-13,48,quantile,0.4,2474
2024-01-06,wk inc flu hosp,1,2024-01-13,48,quantile,0.45,2576
2024-01-06,wk inc flu hosp,1,2024-01-13,48,quantile,0.5,2580
2024-01-06,wk inc flu hosp,1,2024-01-13,48,quantile,0.55,2658
2024-01-06,wk inc flu hosp,1,2024-01-13,48,quantile,0.6,2703
2024-01-06,wk inc flu hosp,1,2024-01-13,48,quantile,0.65,2783
2024-01-06,wk inc flu hosp,1,2024-01-13,48,quantile,0.7,2838
2024-01-06,wk inc flu hosp,1,2024-01-13,48,quantile,0.75,2901
2024-01-06,wk inc flu hosp,1,2024-01-13,48,quantile,0.8,2978
2024-01-06,wk inc flu hosp,1,2024-01-13,48,quantile,0.85,3053
2024-01-06,wk inc flu hosp,1,2024-01-13,48,quantile,0.9,3168
2024-01-06,wk inc flu hosp,1,2024-01-13,48,quantile,0.95,3317
2024-01-06,wk inc flu hosp,1,2024-01-13,48,quantile,0.975,3483
2024-01-06,wk inc flu hosp,1,2024-01-13,48,quantile,0.99,3623
2024-01-06,wk inc flu hosp,2,2024-01-20,US,quantile,0.01,14635
2024-01-06,wk inc flu hosp,2,2024-01-20,US,quantile,0.025,16344
2024-01-06,wk inc flu hosp,2,2024-01-20,US,quantile,0.05,18278
2024-01-06,wk inc flu hosp,2,2024-01-20,US,quantile,0.1,19488
2024-01-06,wk inc flu hosp,2,2024-01-20,US,quantile,0.15,21619
2024-01-06,wk inc flu hosp,2,2024-01-20,US,quantile,0.2,21754
2024-01-06,wk inc flu hosp,2,2024-01-20,US,quantile,0.25,22530
2024-01-06,wk inc flu hosp,2,2024-01-20,US,quantile,0.3,22990
2024-01-06,wk inc flu hosp,2,2024-01-20,US,quantile,0.35,23859
2024-01-06,wk inc flu hosp,2,2024-01-20,US,quantile,0.4,24397
2024-01-06,wk inc flu hosp,2,2024-01-20,US,quantile,0.45,25502
2024-01-06,wk inc flu hosp,2,2024-01-20,US,quantile,0.5,25502
2024-01-06,wk inc flu hosp,2,2024-01-20,US,quantile,0.55,26675
2024-01-06,wk inc flu hosp,2,2024-01-20,US,quantile,0.6,27035
2024-01-06,wk inc flu hosp,2,2024-01-20,US,quantile,0.65,27365
2024-01-06,wk inc flu hosp,2,2024-01-20,US,quantile,0.7,28398
2024-01-06,wk inc flu hosp,2,2024-01-20,US,quantile,0.75,29595
2024-01-06,wk inc flu hosp,2,2024-01-20,US,quantile,0.8,29595
2024-01-06,wk inc flu hosp,2,2024-01-20,US,quantile,0.85,30677
2024-01-06,wk inc flu hosp,2,2024-01-20,US,quantile,0.9,31981
2024-01-06,wk inc flu hosp,2,2024-01-20,US,quantile,0.95,33536
2024-01-06,wk inc flu hosp,2,2024-01-20,US,quantile,0.975,34819
2024-01-06,wk inc flu hosp,2,2024-01-20,US,quantile,0.99,36961
2024-01-06,wk inc flu hosp,2,2024-01-20,06,quantile,0.01,1640
2024-01-06,wk inc flu hosp,2,2024-01-20,06,quantile,0.025,1853
2024-01-06,wk inc flu hosp,2,2024-01-20,06,quantile,0.05,1941
2024-01-06,wk inc flu hosp,2,2024-01-20,06,quantile,0.1,2243
2024-01-06,wk inc flu hosp,2,2024-01-20,06,quantile,0.15,2314
2024-01-06,wk inc flu hosp,2,2024-01-20,06,quantile,0.2,2355
2024-01-06,wk inc flu hosp,2,2024-01-20,06,quantile,0.25,2445
2024-01-06,wk inc flu hosp,2,2024-01-20,06,quantile,0.3,2554
2024-01-06,wk inc flu hosp,2,2024-01-20,06,quantile,0.35,2633
2024-01-06,wk inc flu hosp,2,2024-01-20,06,quantile,0.4,2731
2024-01-06,wk inc flu hosp,2,2024-01-20,06,quantile,0.45,2757
2024-01-06,wk inc flu hosp,2,2024-01-20,06,quantile,0.5,2791
2024-01-06,wk inc flu hosp,2,2024-01-20,06,quantile,0.55,2949
2024-01-06,wk inc flu hosp,2,2024-01-20,06,quantile,0.6,2949
2024-01-06,wk inc flu hosp,2,2024-01-20,06,quantile,0.65,3090
2024-01-06,wk inc flu hosp,2,2024-01-20,06,quantile,0.7,3130
2024-01-06,wk inc flu hosp,2,2024-01-20,06,quantile,0.75,3130
2024-01-06,wk inc flu hosp,2,2024-01-20,06,quantile,0.8,3232
2024-01-06,wk inc flu hosp,2,2024-01-20,06,quantile,0.85,3336
2024-01-06,wk inc flu hosp,2,2024-01-20,06,quantile,0.9,3476
2024-01-06,wk inc flu hosp,2,2024-01-20,06,quantile,0.95,3637
2024-01-06,wk inc flu hosp,2,2024-01-20,06,quantile,0.975,3800
2024-01-06,wk inc flu hosp,2,2024-01-20,06,quantile,0.99,4039
