reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.01,22506
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.025,23079
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.05,23616
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.1,24101
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.15,24214
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.2,24494
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.25,24548
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.3,24809
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.35,24862
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.4,25287
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.45,25409
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.5,25464
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.55,25464
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.6,25940
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.65,25940
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.7,26208
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.75,26208
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.8,26617
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.85,26736
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.9,27074
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.95,27354
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.975,28220
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.99,28245
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.01,2803
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.025,2891
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.05,2929
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.1,3017
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.15,3061
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.2,3095
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.25,3142
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.3,3142
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.35,3182
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.4,3193
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.45,3235
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.5,3240
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.55,3279
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.6,3279
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.65,3317
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.7,3356
