reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.01,9493
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.025,12130
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.05,12603
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.1,14941
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.15,16134
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.2,18278
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.25,19554
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.3,19711
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.35,20139
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.4,21093
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.45,22016
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.5,22135
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.55,23232
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.6,23768
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.65,24687
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.7,25643
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.75,25995
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.8,27812
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.85,27812
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.9,30202
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.95,32465
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.975,34595
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.99,34951
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.01,897
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.025,1356
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.05,1563
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.1,1873
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.15,2075
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.2,2167
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.25,2218
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.3,2492
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.35,2492
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.4,2505
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.45,2717
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.5,2792
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.55,2819
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.6,3054
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.65,3061
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.7,3200
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.75,3200
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.8,3411
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.85,3484
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.9,3951
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.95,4103
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.975,4398
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.99,4565
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.01,475
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.025,527
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.05,722
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.1,915
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.15,1010
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.2,1185
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.25,1252
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.3,1320
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.35,1410
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.4,1432
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.45,1551
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.5,1573
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.55,1573
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.6,1642
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.65,1677
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.7,1852
