reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.1,22428
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.2,19410
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.3,21977
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.4,22699
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.5,27295
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.6,27414
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.7,30385
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.8,24264
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.9,28192
2024-01-06,wk inc flu hosp,0,2024-01-06,US,quantile,0.95,25968
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.1,2378
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.2,2818
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.3,2581
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.4,2794
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.5,3360
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.6,3333
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.7,3107
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.8,3589
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.9,4122
2024-01-06,wk inc flu hosp,0,2024-01-06,06,quantile,0.95,3352
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.1,1591
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.2,1700
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.3,1546
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.4,1564
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.5,2029
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.6,1756
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.7,1679
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.8,1758
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.9,2376
2024-01-06,wk inc flu hosp,0,2024-01-06,36,quantile,0.95,2296
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.1,2351
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.2,2449
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.3,2407
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.4,2848
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.5,2488
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.6,2663
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.7,3042
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.8,2960
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.9,3289
2024-01-06,wk inc flu hosp,0,2024-01-06,48,quantile,0.95,3144
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.1,18396
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.2,16549
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.3,18393
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.4,19742
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.5,19230
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.6,21486
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.7,20931
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.8,23518
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.9,27748
2024-01-06,wk inc flu hosp,1,2024-01-13,US,quantile,0.95,27093
2024-01-06,wk inc flu hosp,1,2024-01-13,06,quantile,0.1,2031
2024-01-06,wk inc flu hosp,1,2024-01-13,06,quantile,0.2,2183
2024-01-06,wk inc flu hosp,1,2024-01-13,06,quantile,0.3,2370
