date,location,location_name,value
2024-01-06,06,California,3187
2024-01-06,36,New York,1823
2024-01-06,48,Texas,2567
2024-01-06,US,United States,25234
2024-01-13,06,California,2794
2024-01-13,36,New York,1612
2024-01-13,48,Texas,2198
2024-01-13,US,United States,22108
2024-01-20,06,California,2312
2024-01-20,36,New York,1345
2024-01-20,48,Texas,1823
2024-01-20,US,United States,18456
2024-01-27,06,California,1987
2024-01-27,36,New York,1098
2024-01-27,48,Texas,1534
2024-01-27,US,United States,15123
2024-02-03,06,California,1654
2024-02-03,36,New York,923
2024-02-03,48,Texas,1289
2024-02-03,US,United States,12567
