row_id,gpu_id,kernel,block_size,registers_per_thread,shared_mem_per_block,active_blocks,occupancy
1,GPU_A,lowres_bs64,64,8,0,32,1.0
2,GPU_B,lowres_bs64,64,8,0,16,1.0
3,GPU_C,lowres_bs64,64,8,0,32,1.0
4,GPU_D,lowres_bs64,64,8,0,24,1.0
5,GPU_E,lowres_bs64,64,8,0,32,1.0
6,GPU_A,lowres_bs128,128,8,0,16,1.0
7,GPU_B,lowres_bs128,128,8,0,8,1.0
8,GPU_C,lowres_bs128,128,8,0,16,1.0
9,GPU_D,lowres_bs128,128,8,0,12,1.0
10,GPU_E,lowres_bs128,128,8,0,16,1.0
11,GPU_A,lowres_bs256,256,8,0,8,1.0
12,GPU_B,lowres_bs256,256,8,0,4,1.0
13,GPU_C,lowres_bs256,256,8,0,8,1.0
14,GPU_D,lowres_bs256,256,8,0,6,1.0
15,GPU_E,lowres_bs256,256,8,0,8,1.0
16,GPU_A,lowres_bs512,512,8,0,4,1.0
17,GPU_B,lowres_bs512,512,8,0,2,1.0
18,GPU_C,lowres_bs512,512,8,0,4,1.0
19,GPU_D,lowres_bs512,512,8,0,3,1.0
20,GPU_E,lowres_bs512,512,8,0,4,1.0
21,GPU_A,lowres_bs1024,1024,8,0,2,1.0
22,GPU_B,lowres_bs1024,1024,8,0,1,1.0
23,GPU_C,lowres_bs1024,1024,8,0,2,1.0
24,GPU_D,lowres_bs1024,1024,8,0,1,0.666667
25,GPU_E,lowres_bs1024,1024,8,0,2,1.0
26,GPU_A,lowres_bs32,32,8,0,32,0.5
27,GPU_B,lowres_bs32,32,8,0,16,0.5
28,GPU_C,lowres_bs32,32,8,0,32,0.5
29,GPU_D,lowres_bs32,32,8,0,24,0.5
30,GPU_E,lowres_bs32,32,8,0,32,0.5
31,GPU_A,reg32_bs256,256,32,0,8,1.0
32,GPU_B,reg32_bs256,256,32,0,4,1.0
33,GPU_C,reg32_bs256,256,32,0,8,1.0
34,GPU_D,reg32_bs256,256,32,0,6,1.0
35,GPU_E,reg32_bs256,256,32,0,8,1.0
36,GPU_A,reg33_bs256,256,33,0,6,0.75
37,GPU_B,reg33_bs256,256,33,0,4,1.0
38,GPU_C,reg33_bs256,256,33,0,6,0.75
39,GPU_D,reg33_bs256,256,33,0,6,1.0
40,GPU_E,reg33_bs256,256,33,0,6,0.75
41,GPU_A,reg40_bs256,256,40,0,7,0.875
42,GPU_B,reg40_bs256,256,40,0,4,1.0
43,GPU_C,reg40_bs256,256,40,0,6,0.75
44,GPU_D,reg40_bs256,256,40,0,6,1.0
45,GPU_E,reg40_bs256,256,40,0,6,0.75
46,GPU_A,reg41_bs256,256,41,0,5,0.625
47,GPU_B,reg41_bs256,256,41,0,4,1.0
48,GPU_C,reg41_bs256,256,41,0,5,0.625
49,GPU_D,reg41_bs256,256,41,0,5,0.833333
50,GPU_E,reg41_bs256,256,41,0,5,0.625
51,GPU_A,reg48_bs256,256,48,0,5,0.625
52,GPU_B,reg48_bs256,256,48,0,4,1.0
53,GPU_C,reg48_bs256,256,48,0,6,0.75
54,GPU_D,reg48_bs256,256,48,0,5,0.833333
55,GPU_E,reg48_bs256,256,48,0,5,0.625
56,GPU_A,reg64_bs256,256,64,0,4,0.5
57,GPU_B,reg64_bs256,256,64,0,3,0.75
58,GPU_C,reg64_bs256,256,64,0,4,0.5
59,GPU_D,reg64_bs256,256,64,0,4,0.666667
60,GPU_E,reg64_bs256,256,64,0,4,0.5
61,GPU_A,reg96_bs128,128,96,0,5,0.3125
62,GPU_B,reg96_bs128,128,96,0,5,0.625
63,GPU_C,reg96_bs128,128,96,0,5,0.3125
64,GPU_D,reg96_bs128,128,96,0,7,0.583333
65,GPU_E,reg96_bs128,128,96,0,5,0.3125
66,GPU_A,reg128_bs128,128,128,0,4,0.25
67,GPU_B,reg128_bs128,128,128,0,4,0.5
68,GPU_C,reg128_bs128,128,128,0,4,0.25
69,GPU_D,reg128_bs128,128,128,0,4,0.333333
70,GPU_E,reg128_bs128,128,128,0,4,0.25
71,GPU_A,smem8k_bs128,128,8,8192,12,0.75
72,GPU_B,smem8k_bs128,128,8,8192,8,1.0
73,GPU_C,smem8k_bs128,128,8,8192,16,1.0
74,GPU_D,smem8k_bs128,128,8,8192,12,1.0
75,GPU_E,smem8k_bs128,128,8,8192,16,1.0
76,GPU_A,smem16k_bs128,128,8,16384,6,0.375
77,GPU_B,smem16k_bs128,128,8,16384,4,0.5
78,GPU_C,smem16k_bs128,128,8,16384,10,0.625
79,GPU_D,smem16k_bs128,128,8,16384,6,0.5
80,GPU_E,smem16k_bs128,128,8,16384,14,0.875
81,GPU_A,smem32k_bs128,128,8,32768,3,0.1875
