scenario_id,cust_0,cust_1,cust_2,cust_3,cust_4,cust_5,cust_6,cust_7,cust_8,cust_9,cust_10,cust_11
0,22,20,24,18,26,21,5,7,4,6,5,8
1,20,24,18,22,20,23,7,5,6,4,7,6
2,24,18,26,20,22,19,4,8,3,7,4,7
3,18,25,20,24,28,22,6,4,7,5,8,3
4,21,22,22,19,24,20,5,6,5,6,5,7
5,23,19,25,21,21,24,4,7,4,7,3,8
6,25,21,23,17,27,18,7,5,6,5,6,6
7,19,23,19,23,19,25,6,6,5,4,7,5
8,22,20,24,18,26,21,5,7,4,6,5,8
9,26,22,28,16,30,17,3,5,3,5,4,5
10,17,19,16,20,18,22,8,8,7,8,6,9
11,24,20,22,21,25,20,5,6,5,5,6,6
12,20,21,21,20,22,21,6,6,5,6,5,7
13,5,7,4,6,5,8,22,20,24,18,26,21
14,7,5,6,4,7,6,20,24,18,22,20,23
15,4,8,3,7,4,7,24,18,26,20,22,19
16,6,4,7,5,8,3,18,25,20,24,28,22
17,5,6,5,6,5,7,21,22,22,19,24,20
18,4,7,4,7,3,8,23,19,25,21,21,24
19,7,5,6,5,6,6,25,21,23,17,27,18
20,6,6,5,4,7,5,19,23,19,23,19,25
21,5,7,4,6,5,8,22,20,24,18,26,21
22,3,5,3,5,4,5,26,22,28,16,30,17
23,8,8,7,8,6,9,17,19,16,20,18,22
24,5,6,5,5,6,6,24,20,22,21,25,20
