s,T_back,T_d08,T_d06,T_d04,T_d02,T_front
0.0,20.0,20.0,20.0,20.0,20.0,20.0
1.0,20.0,20.0,20.0,20.0,20.0,77.24
2.0,20.0,20.0,20.0,20.0,20.0,86.38
3.0,20.0,20.0,20.0,20.0,20.0,91.27
4.0,20.0,20.0,20.0,20.0,20.0,94.46
5.0,20.0,20.0,20.0,20.0,20.0,96.77
6.0,20.0,20.0,20.0,20.0,20.0,98.54
7.0,20.0,20.0,20.0,20.0,20.0,99.95
8.0,20.0,20.0,20.0,20.0,20.0,101.12
9.0,20.0,20.0,20.0,20.0,20.0,102.1
10.0,20.0,20.0,20.0,20.0,20.0,102.94
20.0,20.0,20.0,20.0,20.0,20.1,107.68
30.0,20.0,20.0,20.0,20.0,20.71,109.86
40.0,20.0,20.0,20.0,20.0,21.95,111.19
50.0,20.0,20.0,20.0,20.0,23.66,112.1
60.0,20.0,20.0,20.0,20.02,25.62,112.78
70.0,20.0,20.0,20.0,20.06,27.69,113.3
80.0,20.0,20.0,20.0,20.12,29.79,113.73
90.0,20.0,20.0,20.0,20.23,31.85,114.09
100.0,20.0,20.0,20.0,20.38,33.85,114.39
200.0,20.0,20.01,20.23,24.06,49.43,116.02
300.0,20.01,20.1,21.28,29.44,59.17,116.75
400.0,20.07,20.42,23.11,34.74,65.81,117.18
500.0,20.28,21.06,25.39,39.5,70.69,117.48
600.0,20.71,21.99,27.84,43.68,74.45,117.7
700.0,21.39,23.17,30.33,47.34,77.48,117.87
800.0,22.32,24.54,32.78,50.56,79.97,118.01
900.0,23.46,26.07,35.15,53.41,82.07,118.12
1000.0,24.79,27.7,37.43,55.97,83.88,118.22
1100.0,26.27,29.42,39.62,58.28,85.45,118.3
1200.0,27.86,31.19,41.72,60.38,86.85,118.37
1300.0,29.53,32.99,43.74,62.3,88.09,118.44
1400.0,31.27,34.81,45.68,64.09,89.21,118.49
1500.0,33.05,36.64,47.55,65.75,90.24,118.55
1600.0,34.85,38.47,49.37,67.31,91.18,118.59
1700.0,36.66,40.29,51.12,68.78,92.06,118.64
1800.0,38.47,42.08,52.82,70.17,92.87,118.68
1900.0,40.27,43.86,54.46,71.5,93.64,118.72
2000.0,42.06,45.61,56.06,72.77,94.37,118.75
