s,T_back,T_d08,T_d06,T_d04,T_d02,T_front
0.0,20.0,20.0,20.0,20.0,20.0,20.0
10.0,20.0,20.0,20.0,20.0,20.0,47.64
20.0,20.0,20.0,20.0,20.0,20.02,55.62
30.0,20.0,20.0,20.0,20.0,20.2,60.8
40.0,20.0,20.0,20.0,20.0,20.61,64.64
50.0,20.0,20.0,20.0,20.0,21.26,67.68
60.0,20.0,20.0,20.0,20.01,22.09,70.2
70.0,20.0,20.0,20.0,20.02,23.06,72.33
80.0,20.0,20.0,20.0,20.04,24.11,74.18
90.0,20.0,20.0,20.0,20.08,25.21,75.8
100.0,20.0,20.0,20.0,20.14,26.33,77.24
110.0,20.0,20.0,20.0,20.22,27.47,78.54
120.0,20.0,20.0,20.0,20.33,28.61,79.72
130.0,20.0,20.0,20.01,20.46,29.74,80.79
140.0,20.0,20.0,20.01,20.61,30.84,81.77
150.0,20.0,20.0,20.02,20.79,31.93,82.68
160.0,20.0,20.0,20.03,20.99,33.0,83.53
170.0,20.0,20.0,20.04,21.22,34.03,84.31
180.0,20.0,20.0,20.05,21.46,35.05,85.05
190.0,20.0,20.0,20.07,21.72,36.03,85.73
200.0,20.0,20.0,20.1,21.99,36.99,86.38
400.0,20.03,20.22,21.75,29.14,51.53,94.46
800.0,21.43,22.94,28.82,42.4,66.74,101.12
1200.0,25.44,28.0,36.32,51.76,74.94,104.32
1600.0,30.99,33.98,43.14,58.71,80.31,106.32
2000.0,37.07,40.14,49.3,64.28,84.28,107.75
4000.0,64.26,66.51,73.09,83.48,96.85,112.1
6000.0,82.93,84.43,88.82,95.74,104.62,114.76
8000.0,95.36,96.36,99.27,103.87,109.78,116.51
10000.0,103.62,104.28,106.22,109.28,113.21,117.68
12000.0,109.11,109.55,110.84,112.87,115.48,118.46
14000.0,112.76,113.05,113.91,115.26,117.0,118.98
