s,T_back,T_d08,T_d06,T_d04,T_d02,T_front
0.0,20.0,20.0,20.0,20.0,20.0,20.0
50.0,20.0,20.0,20.0,20.0,20.21,29.75
100.0,20.0,20.0,20.0,20.03,21.23,33.45
150.0,20.0,20.0,20.0,20.16,22.57,36.19
200.0,20.0,20.0,20.01,20.42,23.96,38.39
250.0,20.0,20.0,20.07,20.79,25.33,40.29
300.0,20.0,20.01,20.14,21.25,26.64,41.96
350.0,20.0,20.03,20.26,21.78,27.89,43.46
400.0,20.01,20.05,20.42,22.34,29.09,44.83
450.0,20.01,20.09,20.6,22.94,30.22,46.08
500.0,20.03,20.14,20.82,23.56,31.3,47.25
1000.0,20.9,21.59,24.11,29.72,39.99,55.93
2000.0,26.42,27.84,32.26,40.01,51.36,66.36
3000.0,34.07,35.65,40.44,48.39,59.47,73.44
4000.0,41.97,43.53,48.17,55.81,66.27,79.25
5000.0,49.58,51.04,55.41,62.59,72.34,84.41
6000.0,56.7,58.08,62.16,68.84,77.91,89.12
7000.0,63.34,64.63,68.43,74.63,83.06,93.48
8000.0,69.53,70.71,74.25,80.01,87.85,97.52
9000.0,75.26,76.37,79.64,85.0,92.28,101.26
10000.0,80.59,81.62,84.66,89.64,96.4,104.73
15000.0,102.07,102.77,104.88,108.31,112.98,118.74
20000.0,116.89,117.38,118.84,121.2,124.43,128.41
25000.0,127.13,127.47,128.47,130.11,132.33,135.09
30000.0,134.2,134.44,135.13,136.26,137.81,139.7
35000.0,139.09,139.25,139.73,140.51,141.58,142.89
40000.0,142.46,142.58,142.9,143.45,144.18,145.09
45000.0,144.8,144.88,145.1,145.48,145.98,146.61
50000.0,146.41,146.46,146.62,146.88,147.22,147.66
