s,T_back,T_d08,T_d06,T_d04,T_d02,T_front
0.0,20.0,20.0,20.0,20.0,20.0,20.0
50.0,20.0,20.0,20.0,20.0,20.08,23.87
100.0,20.0,20.0,20.0,20.01,20.49,25.4
150.0,20.0,20.0,20.0,20.06,21.03,26.55
200.0,20.0,20.0,20.01,20.16,21.59,27.5
250.0,20.0,20.0,20.02,20.32,22.16,28.33
300.0,20.0,20.0,20.06,20.5,22.7,29.07
350.0,20.0,20.01,20.1,20.72,23.23,29.74
400.0,20.0,20.02,20.16,20.95,23.73,30.35
450.0,20.01,20.03,20.24,21.2,24.21,30.93
500.0,20.01,20.06,20.33,21.45,24.68,31.46
1000.0,20.37,20.65,21.72,24.11,28.55,35.61
2000.0,22.74,23.37,25.33,28.8,33.99,40.99
3000.0,26.18,26.92,29.13,32.85,38.12,44.9
4000.0,29.89,30.64,32.87,36.58,41.72,48.24
5000.0,33.59,34.32,36.49,40.09,45.06,51.31
6000.0,37.17,37.88,39.98,43.44,48.21,54.21
7000.0,40.63,41.3,43.32,46.64,51.21,56.96
8000.0,43.94,44.59,46.52,49.71,54.09,59.6
9000.0,47.12,47.74,49.59,52.64,56.84,62.12
10000.0,50.16,50.76,52.53,55.46,59.48,64.54
15000.0,63.58,64.06,65.5,67.86,71.11,75.2
20000.0,74.42,74.81,75.97,77.88,80.51,83.81
25000.0,83.18,83.49,84.43,85.97,88.09,90.76
30000.0,90.26,90.51,91.26,92.51,94.23,96.38
35000.0,95.97,96.18,96.79,97.79,99.18,100.92
40000.0,100.59,100.75,101.25,102.06,103.18,104.58
45000.0,104.32,104.45,104.85,105.51,106.41,107.55
50000.0,107.33,107.44,107.76,108.29,109.02,109.94
