smiles,pIC50
N/C(=[NH+]\NC(=O)c1ccncc1)c1cc2c(ccc3ccccc32)oc1=O,4.8727
CCn1nnc2cc(C(=O)Oc3ccc(-n4cnnn4)cc3)ccc21,7.7536
Cn1nnnc1SCC(=O)Oc1ccc(F)cc1,6.66
Cc1nn2c(NCc3ccccn3)cc(C(C)(C)C)nc2c1-c1ccccc1,5.9933
O=C(NNc1nc2c(F)cc(F)cc2s1)c1ccc(S(=O)(=O)N2CCCCC2)cc1,3.7801
CCCNC(=O)[C@H](C)NC(=O)[C@@](C)([NH3+])CC,3.78
Cc1oc(-c2ccccc2)nc1COC(=O)c1cncc(Br)c1,3.2904
O[C@H](CNCc1ccc(-c2ccc(Br)cc2)o1)c1ccccc1,7.3309
CC(=O)Nc1cc(NC(=O)/C=C/c2ccc(-n3ccnc3)cc2)ccc1C,6.0056
COc1cc(C)c(NC(=O)/C=C/c2c(C)nn(CC(C)C)c2Cl)cc1OC,6.5404
Cc1ccc([C@H](C)[NH2+]Cc2ccc(OCc3cccnc3)cc2)cc1,3.1029
COc1cc(Br)c(S(=O)(=O)Nc2ccc(N3CCCC3=O)cc2)cc1OC,7.8495
NC(=O)c1cccc(CCNC(=O)NCCC2CCCC2)c1,7.1622
CCCNC(=O)CN(C)c1ccc([C@H](C)O)c(O)c1,4.0617
Oc1ccc(CNc2nccs2)c(O)c1,3.9091
CCOc1c(F)cccc1C(=O)Nc1ccccc1-n1cccn1,3.917
CCCn1ccnc1C[C@@H]([NH3+])CSc1ccc(Br)cc1,4.5212
FC(F)(F)C1=CC(c2ccccc2)=NCC[NH2+]1,5.6238
CCNC(=O)c1ccc(N2CC[C@@H](CC(=O)[O-])C2)nn1,5.1597
Cc1ccc(C(=O)N(CC(=O)Nc2cccc(C)c2C)C[C@H]2CCCO2)cc1,4.4561
CC(C)CCO[C@H]1CC[NH+]([C@@H](C)C(=O)Nc2cccc(F)c2)C1,6.0593
Cc1nc(CC(=O)C(C)(C)c2ccccc2)sc1C,3.6975
CCc1ccc([C@H](C[NH+]2C[C@@H](C)[C@H](C)C2)NC)cc1,4.4607
O=C(C1CCN(c2ncccn2)CC1)N1CCCCCC1,4.8318
CC[S@](=O)CC(=O)Nc1c(C(C)C)cccc1C(C)C,5.2803
CC(C)(C)c1csc(C[C@H](C(=O)[O-])c2ccccc2Cl)n1,6.9259
CCc1cnc(N2CCC([NH+]3CCC[C@@H](C(=O)N4CCCC4)C3)CC2)nc1,3.9984
NS(=O)(=O)c1ccc(Cl)c(C(=O)N2CCOCC2)c1,5.5712
Cc1cccc(NC(=O)CNS(=O)(=O)c2ccccc2)c1,5.9621
CC(=O)NCc1ccc(C(=O)N2CCN(c3ncccc3F)CC2)s1,3.2323
