Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
350.00	1.0000	0.034463	29.016	21.358	24.260	126.73	31.134	39.566	289.04	0.73293	17.359	0.020691	vapor
350.00	21.000	0.76991	1.2988	20.925	23.653	100.17	32.287	43.583	279.75	0.72951	17.681	0.021835	vapor
350.00	41.000	1.6125	0.62016	20.440	22.983	93.198	33.580	49.086	270.52	0.71943	18.177	0.023411	vapor
350.00	61.000	2.6012	0.38443	19.889	22.234	88.274	35.034	56.966	261.62	0.69886	18.943	0.025670	vapor
350.00	81.000	3.7958	0.26345	19.249	21.382	84.023	36.660	68.772	253.75	0.66185	20.158	0.029053	vapor
350.00	81.000	3.7958	0.26345	19.249	21.382	84.023	36.660	68.772	253.75	0.66185	20.158	0.029053	supercritical
350.00	81.000	3.7958	0.26345	19.249	21.382	84.023	36.660	68.772	253.75	0.66185	20.158	0.029053	supercritical
350.00	101.00	5.2816	0.18933	18.494	20.406	79.956	38.413	86.813	248.46	0.60059	22.154	0.034207	supercritical
350.00	121.00	7.1386	0.14008	17.614	19.309	75.887	40.049	111.59	249.19	0.50876	25.484	0.041515	supercritical
350.00	141.00	9.2676	0.10790	16.677	18.199	72.015	41.002	132.01	261.55	0.39532	30.585	0.049710	supercritical
350.00	161.00	11.258	0.088828	15.852	17.282	68.838	41.092	133.66	287.32	0.29147	36.760	0.056693	supercritical
350.00	181.00	12.824	0.077980	15.218	16.630	66.501	40.824	124.55	319.89	0.21634	42.715	0.062301	supercritical
350.00	201.00	14.007	0.071391	14.741	16.176	64.779	40.526	114.90	353.15	0.16571	47.947	0.067028	supercritical
