id,name,rating,federation
1,Anton Varga,2730,HUN
2,Boris Petrov,2715,RUS
3,Carlos Mendez,2698,ESP
4,David Chen,2685,CHN
5,Erik Johansson,2672,SWE
6,Farid Hassan,2660,EGY
7,Georg Braun,2645,GER
8,Hiroshi Tanaka,2633,JPN
9,Igor Sokolov,2620,SRB
10,Jan de Vries,2608,NED
11,Kenji Watanabe,2595,JPN
12,Lars Nielsen,2580,DEN
13,Mikhail Volkov,2568,RUS
14,Nabil Mansour,2555,MAR
15,Oscar Blanco,2540,ARG
16,Pavel Novak,2528,CZE
17,Radu Popescu,2515,ROU
18,Stefan Muller,2500,AUT
19,Tomas Horvat,2488,SVK
20,Umar Farooq,2475,PAK
