variables="u","y"
zone,t="x=     0.97008"
   0.000000E+00   0.000000E+00
   0.336415E-02   0.500000E-06
   0.673143E-02   0.100047E-05
   0.101050E-01   0.150186E-05
   0.134879E-01   0.200465E-05
   0.168834E-01   0.250931E-05
   0.202946E-01   0.301630E-05
   0.237246E-01   0.352610E-05
   0.271767E-01   0.403918E-05
   0.306540E-01   0.455602E-05
   0.341598E-01   0.507709E-05
   0.376973E-01   0.560289E-05
   0.412697E-01   0.613390E-05
   0.448804E-01   0.667062E-05
   0.485326E-01   0.721354E-05
   0.522297E-01   0.776318E-05
   0.559750E-01   0.832003E-05
   0.597719E-01   0.888463E-05
   0.636239E-01   0.945749E-05
   0.675345E-01   0.100392E-04
   0.715069E-01   0.106302E-04
   0.755449E-01   0.112310E-04
   0.796518E-01   0.118424E-04
   0.838313E-01   0.124647E-04
   0.880868E-01   0.130987E-04
   0.924220E-01   0.137448E-04
   0.968403E-01   0.144037E-04
   0.101345E+00   0.150761E-04
   0.105941E+00   0.157624E-04
   0.110630E+00   0.164634E-04
   0.115416E+00   0.171798E-04
   0.120304E+00   0.179121E-04
   0.125295E+00   0.186610E-04
   0.130393E+00   0.194274E-04
   0.135601E+00   0.202118E-04
   0.140922E+00   0.210150E-04
   0.146359E+00   0.218378E-04
   0.151914E+00   0.226808E-04
   0.157589E+00   0.235450E-04
   0.163386E+00   0.244311E-04
   0.169306E+00   0.253399E-04
   0.175350E+00   0.262723E-04
   0.181518E+00   0.272291E-04
   0.187810E+00   0.282113E-04
   0.194224E+00   0.292197E-04
   0.200759E+00   0.302553E-04
   0.207411E+00   0.313190E-04
   0.214177E+00   0.324119E-04
   0.221052E+00   0.335349E-04
   0.228029E+00   0.346891E-04
   0.235102E+00   0.358756E-04
   0.242261E+00   0.370955E-04
   0.249497E+00   0.383499E-04
   0.256798E+00   0.396399E-04
   0.264151E+00   0.409669E-04
   0.271544E+00   0.423319E-04
   0.278961E+00   0.437363E-04
   0.286387E+00   0.451814E-04
   0.293805E+00   0.466686E-04
   0.301197E+00   0.481991E-04
   0.308547E+00   0.497746E-04
   0.315838E+00   0.513963E-04
   0.323052E+00   0.530658E-04
   0.330174E+00   0.547847E-04
   0.337187E+00   0.565545E-04
   0.344079E+00   0.583770E-04
   0.350836E+00   0.602538E-04
   0.357448E+00   0.621866E-04
   0.363905E+00   0.641773E-04
   0.370199E+00   0.662277E-04
   0.376327E+00   0.683397E-04
   0.382283E+00   0.705153E-04
   0.388066E+00   0.727565E-04
   0.393676E+00   0.750654E-04
   0.399114E+00   0.774441E-04
