00000000;fff00093;1;ffffffff
00000004;00100113;2;00000001
00000008;0020a1b3;3;00000001
0000000c;0020b233;4;00000000
00000010;0020e463;;
00000014;00100293;5;00000001
00000018;0020f463;;
00000020;00200313;6;00000002
00000024;800003b7;7;80000000
00000028;0023a433;8;00000001
0000002c;0023b4b3;9;00000000
00000030;4103d513;10;ffff8000
00000034;0103d593;11;00008000
00000038;fff0c613;12;00000000
0000003c;fff06693;13;ffffffff
00000040;07f0f713;14;0000007f
00000044;0000a793;15;00000001
00000048;0010b813;16;00000000
0000004c;00000073;;
