# ERT v1.1.0 Bandwidth Results
# MACHINE haswell-e5-2630v3-node07.cluster.hpc
# KERNEL  kernel1 (driver1)
# DATE    2024-03-15T14:23:07Z
# CONFIG  MPI_PROCS=1 OMP_THREADS=8
# CONFIG  PRECISION=FP64
# CONFIG  WORKING_SET_MIN=1 MEMORY_MAX=268435456
# CONFIG  TRIALS_MIN=1 NUM_EXPERIMENTS=3
# CONFIG  FLOPS_PER_ELEMENT=1
#
# Working set sizes are in ELEMENTS.
# See ert.conf for precision and byte-per-element details.
#
# ws_elements	trial	bandwidth_GBs
16	1	420.5
16	2	445.2
16	3	450.0
32	1	442.1
32	2	448.0
32	3	441.5
64	1	438.7
64	2	446.0
64	3	440.2
128	1	435.3
128	2	442.0
128	3	437.8
256	1	430.1
256	2	438.5
256	3	434.2
512	1	425.4
512	2	434.0
512	3	428.7
1024	1	418.2
1024	2	428.5
1024	3	422.1
2048	1	410.5
2048	2	420.3
2048	3	414.7
4096	1	175.2
4096	2	180.0
4096	3	177.8
8192	1	172.4
8192	2	178.5
8192	3	175.1
16384	1	168.3
16384	2	174.2
16384	3	170.8
32768	1	51.8
32768	2	54.0
32768	3	52.5
65536	1	50.2
65536	2	53.1
65536	3	51.4
131072	1	48.7
131072	2	51.5
131072	3	49.8
262144	1	46.3
262144	2	49.2
262144	3	47.5
524288	1	44.1
524288	2	47.0
524288	3	45.2
1048576	1	42.5
1048576	2	45.1
1048576	3	43.4
2097152	1	40.8
2097152	2	43.5
2097152	3	41.7
4194304	1	27.2
4194304	2	28.0
4194304	3	27.5
8388608	1	26.5
8388608	2	27.3
8388608	3	26.8
16777216	1	25.8
16777216	2	26.7
16777216	3	26.1
33554432	1	25.2
33554432	2	26.0
33554432	3	25.5
