# ERT v1.1.0 Compute Results
# MACHINE haswell-e5-2630v3-node07.cluster.hpc
# KERNEL  kernel1 (driver1)
# DATE    2024-03-15T14:28:41Z
# CONFIG  MPI_PROCS=1 OMP_THREADS=8
# CONFIG  PRECISION=FP64
# CONFIG  FLOPS_SWEEP=1,2,4,8,16,32,64,128,256
# CONFIG  WORKING_SET=512 (elements, fixed for compute sweep)
#
# Working set held constant; flops_per_element varied.
# See ert.conf for precision and byte-per-element details.
#
# flops_per_element	trial	achieved_GFLOPs
1	1	3.8
1	2	4.2
1	3	4.0
2	1	7.9
2	2	8.3
2	3	8.1
4	1	15.8
4	2	16.4
4	3	16.0
8	1	30.5
8	2	31.5
8	3	30.9
16	1	51.2
16	2	52.8
16	3	51.9
32	1	60.8
32	2	62.4
32	3	61.5
64	1	62.5
64	2	64.0
64	3	63.1
128	1	63.5
128	2	64.2
128	3	63.8
256	1	63.0
256	2	64.2
256	3	63.4
