date,evaporation
1995-01-01,0.364906
1995-01-02,0.152792
1995-01-03,0.245200
1995-01-04,0.279983
1995-01-05,0.330353
1995-01-06,0.154512
1995-01-07,0.061134
1995-01-08,0.114401
1995-01-09,0.316206
1995-01-10,0.000000
1995-01-11,0.301988
1995-01-12,0.142087
1995-01-13,0.191192
1995-01-14,0.090245
1995-01-15,0.399355
1995-01-16,0.420070
1995-01-17,0.147025
1995-01-18,0.325778
1995-01-19,0.000000
1995-01-20,0.258802
1995-01-21,0.130711
1995-01-22,0.483723
1995-01-23,0.457231
1995-01-24,0.468688
1995-01-25,0.452734
1995-01-26,0.504015
1995-01-27,0.098809
1995-01-28,0.507851
1995-01-29,0.301705
1995-01-30,0.291871
1995-01-31,0.325633
1995-02-01,0.288801
1995-02-02,0.079584
1995-02-03,0.570035
1995-02-04,0.505057
1995-02-05,0.303286
1995-02-06,0.567724
1995-02-07,0.373258
1995-02-08,0.458765
1995-02-09,0.533598
1995-02-10,0.568283
1995-02-11,0.349337
1995-02-12,0.543862
1995-02-13,0.602395
1995-02-14,0.415534
1995-02-15,0.509000
1995-02-16,0.529339
1995-02-17,0.336472
1995-02-18,0.680462
1995-02-19,0.637798
1995-02-20,0.297405
1995-02-21,0.631230
1995-02-22,0.736979
1995-02-23,0.632680
1995-02-24,0.652308
1995-02-25,0.543002
1995-02-26,0.791584
1995-02-27,0.890764
1995-02-28,0.702688
1995-03-01,0.928924
1995-03-02,1.192760
1995-03-03,0.768030
1995-03-04,0.970430
1995-03-05,0.815926
1995-03-06,0.928628
1995-03-07,1.012290
1995-03-08,0.917419
1995-03-09,1.213433
1995-03-10,0.967623
1995-03-11,0.765397
1995-03-12,1.303378
1995-03-13,1.272708
1995-03-14,1.397070
1995-03-15,1.188929
1995-03-16,1.423322
1995-03-17,1.018015
1995-03-18,1.519889
1995-03-19,1.509877
1995-03-20,1.446251
1995-03-21,1.442444
1995-03-22,1.692018
1995-03-23,1.601825
1995-03-24,1.476926
1995-03-25,1.403130
1995-03-26,1.649532
1995-03-27,1.327301
1995-03-28,1.784765
1995-03-29,1.695000
1995-03-30,1.673488
1995-03-31,1.728711
1995-04-01,1.866006
1995-04-02,1.821599
1995-04-03,1.773681
1995-04-04,1.838310
1995-04-05,1.956645
1995-04-06,1.845408
1995-04-07,1.771084
1995-04-08,1.513327
1995-04-09,2.121041
1995-04-10,2.092001
1995-04-11,2.073240
1995-04-12,1.873931
1995-04-13,2.034587
1995-04-14,2.234259
1995-04-15,2.185409
1995-04-16,2.108748
1995-04-17,2.062555
1995-04-18,2.177563
1995-04-19,2.114396
1995-04-20,2.200055
1995-04-21,2.440977
1995-04-22,2.253092
1995-04-23,2.477552
1995-04-24,2.514367
1995-04-25,2.705512
1995-04-26,2.420268
1995-04-27,2.310432
1995-04-28,2.674607
1995-04-29,2.835501
1995-04-30,2.539856
1995-05-01,2.553772
1995-05-02,2.657451
1995-05-03,2.426186
1995-05-04,2.766081
1995-05-05,2.773742
1995-05-06,2.720707
1995-05-07,3.002893
1995-05-08,2.694209
1995-05-09,2.965764
1995-05-10,2.938038
1995-05-11,3.049073
1995-05-12,2.980879
1995-05-13,2.776941
1995-05-14,2.916147
1995-05-15,3.036283
1995-05-16,3.138742
1995-05-17,2.946500
1995-05-18,3.119545
1995-05-19,3.377112
1995-05-20,3.095269
1995-05-21,3.145060
1995-05-22,3.030763
1995-05-23,2.907159
1995-05-24,3.189460
1995-05-25,3.273689
1995-05-26,3.583688
1995-05-27,3.408905
1995-05-28,3.473107
1995-05-29,3.244523
1995-05-30,3.431193
1995-05-31,3.343719
1995-06-01,3.391880
1995-06-02,3.334132
1995-06-03,3.484091
1995-06-04,3.026644
1995-06-05,3.343281
1995-06-06,3.811167
1995-06-07,3.505414
1995-06-08,3.690041
1995-06-09,3.470517
1995-06-10,3.184926
1995-06-11,3.461215
1995-06-12,3.546047
1995-06-13,3.703148
1995-06-14,3.854676
1995-06-15,3.504512
1995-06-16,3.445742
1995-06-17,3.443486
1995-06-18,3.601187
1995-06-19,3.725926
1995-06-20,3.820506
1995-06-21,3.741288
1995-06-22,3.558250
1995-06-23,3.775348
1995-06-24,3.721562
1995-06-25,3.785341
1995-06-26,3.612625
1995-06-27,3.913669
1995-06-28,3.674102
1995-06-29,3.880221
1995-06-30,3.690445
1995-07-01,3.838346
1995-07-02,3.896375
1995-07-03,4.041076
1995-07-04,3.633993
1995-07-05,3.688203
1995-07-06,3.667323
1995-07-07,4.018393
1995-07-08,3.935343
1995-07-09,3.908605
1995-07-10,3.724663
1995-07-11,3.568894
1995-07-12,3.697055
1995-07-13,3.622575
1995-07-14,3.849216
1995-07-15,3.750151
1995-07-16,3.851060
1995-07-17,3.822552
1995-07-18,3.848829
1995-07-19,3.428507
1995-07-20,4.138796
1995-07-21,4.016038
1995-07-22,3.896657
1995-07-23,3.773323
1995-07-24,3.650485
1995-07-25,4.087081
1995-07-26,3.714139
1995-07-27,3.680864
1995-07-28,3.690661
1995-07-29,3.620749
1995-07-30,3.933460
1995-07-31,3.722717
1995-08-01,3.600764
1995-08-02,3.743999
1995-08-03,3.795957
1995-08-04,3.323029
1995-08-05,3.607278
1995-08-06,3.554343
1995-08-07,3.602053
1995-08-08,3.590081
1995-08-09,3.640516
1995-08-10,3.595109
1995-08-11,3.418803
1995-08-12,3.572485
1995-08-13,3.558879
1995-08-14,3.302482
1995-08-15,3.507755
1995-08-16,3.415398
1995-08-17,3.520090
1995-08-18,3.546472
1995-08-19,3.525148
1995-08-20,3.066087
1995-08-21,3.420650
1995-08-22,3.370733
1995-08-23,3.367920
1995-08-24,3.527096
1995-08-25,3.397802
1995-08-26,3.531184
1995-08-27,3.441495
1995-08-28,3.159171
1995-08-29,3.136285
1995-08-30,3.050864
1995-08-31,2.995326
1995-09-01,2.955013
1995-09-02,3.205148
1995-09-03,3.084921
1995-09-04,3.203325
1995-09-05,2.962042
1995-09-06,3.006091
1995-09-07,2.724929
1995-09-08,3.025357
1995-09-09,2.766253
1995-09-10,2.548966
1995-09-11,2.742311
1995-09-12,2.771678
1995-09-13,2.602465
1995-09-14,2.744156
1995-09-15,2.766564
1995-09-16,2.741975
1995-09-17,2.931285
1995-09-18,2.673470
1995-09-19,2.633745
1995-09-20,2.301849
1995-09-21,2.802196
1995-09-22,2.251587
1995-09-23,2.232394
1995-09-24,2.481378
1995-09-25,2.424826
1995-09-26,2.345439
1995-09-27,2.204399
1995-09-28,2.496327
1995-09-29,2.329787
1995-09-30,2.581231
1995-10-01,2.148614
1995-10-02,2.074894
1995-10-03,2.282207
1995-10-04,2.093634
1995-10-05,1.902567
1995-10-06,2.284670
1995-10-07,2.155141
1995-10-08,1.820360
1995-10-09,1.783961
1995-10-10,2.428227
1995-10-11,1.830876
1995-10-12,1.818903
1995-10-13,2.072822
1995-10-14,2.160616
1995-10-15,1.594881
1995-10-16,1.642487
1995-10-17,1.968337
1995-10-18,1.747376
1995-10-19,1.855983
1995-10-20,1.603404
1995-10-21,1.615481
1995-10-22,1.582726
1995-10-23,1.633432
1995-10-24,1.919251
1995-10-25,1.670162
1995-10-26,1.321131
1995-10-27,1.386798
1995-10-28,1.347213
1995-10-29,1.292256
1995-10-30,1.082659
1995-10-31,1.497305
1995-11-01,1.347639
1995-11-02,1.248920
1995-11-03,1.038992
1995-11-04,1.169997
1995-11-05,1.166452
1995-11-06,1.189681
1995-11-07,1.118370
1995-11-08,1.023565
1995-11-09,0.984465
1995-11-10,1.090548
1995-11-11,0.947419
1995-11-12,0.806723
1995-11-13,1.209320
1995-11-14,0.911235
1995-11-15,0.833746
1995-11-16,0.867866
1995-11-17,0.559644
1995-11-18,0.683965
1995-11-19,0.772211
1995-11-20,0.900062
1995-11-21,0.975281
1995-11-22,0.781166
1995-11-23,0.547121
1995-11-24,0.936712
1995-11-25,0.785237
1995-11-26,0.801791
1995-11-27,0.711547
1995-11-28,0.856510
1995-11-29,0.655805
1995-11-30,0.556942
1995-12-01,0.623113
1995-12-02,0.712400
1995-12-03,0.541019
1995-12-04,0.854077
1995-12-05,0.544144
1995-12-06,0.562985
1995-12-07,0.388303
1995-12-08,0.442731
1995-12-09,0.538375
1995-12-10,0.469624
1995-12-11,0.639190
1995-12-12,0.327590
1995-12-13,0.546157
1995-12-14,0.589845
1995-12-15,0.258341
1995-12-16,0.626574
1995-12-17,0.560381
1995-12-18,0.430719
1995-12-19,0.357408
1995-12-20,0.313362
1995-12-21,0.418745
1995-12-22,0.188812
1995-12-23,0.213357
1995-12-24,0.141103
1995-12-25,0.513960
1995-12-26,0.260489
1995-12-27,0.000000
1995-12-28,0.153235
1995-12-29,0.120087
1995-12-30,0.218903
1995-12-31,0.409200
1996-01-01,0.479510
1996-01-02,0.339169
1996-01-03,0.287578
1996-01-04,0.221080
1996-01-05,0.283310
1996-01-06,0.311482
1996-01-07,0.147102
1996-01-08,0.035944
1996-01-09,0.000000
1996-01-10,0.347355
1996-01-11,0.124859
1996-01-12,0.216197
1996-01-13,0.000000
1996-01-14,0.000000
1996-01-15,0.062831
1996-01-16,0.000000
1996-01-17,0.307794
1996-01-18,0.264239
1996-01-19,0.178904
1996-01-20,0.066375
1996-01-21,0.128741
1996-01-22,0.166463
1996-01-23,0.296277
1996-01-24,0.617663
1996-01-25,0.377175
1996-01-26,0.292904
1996-01-27,0.511836
1996-01-28,0.496433
1996-01-29,0.128157
1996-01-30,0.381682
1996-01-31,0.276084
1996-02-01,0.218253
1996-02-02,0.487717
1996-02-03,0.515441
1996-02-04,0.459634
1996-02-05,0.362409
1996-02-06,0.416951
1996-02-07,0.418237
1996-02-08,0.435241
1996-02-09,0.393297
1996-02-10,0.493195
1996-02-11,0.437756
1996-02-12,0.578585
1996-02-13,0.479109
1996-02-14,0.355075
1996-02-15,0.625260
1996-02-16,0.721615
1996-02-17,0.662206
1996-02-18,0.597647
1996-02-19,0.703419
1996-02-20,0.424613
1996-02-21,0.743615
1996-02-22,0.821084
1996-02-23,0.942333
1996-02-24,0.601128
1996-02-25,0.438123
1996-02-26,0.740812
1996-02-27,0.770860
1996-02-28,0.608023
1996-02-29,0.710279
1996-03-01,0.816930
1996-03-02,0.930713
1996-03-03,0.754530
1996-03-04,0.989864
1996-03-05,1.120873
1996-03-06,0.947402
1996-03-07,1.012973
1996-03-08,0.948065
1996-03-09,1.016329
1996-03-10,1.111216
1996-03-11,0.909163
1996-03-12,0.936110
1996-03-13,1.236912
1996-03-14,1.380138
1996-03-15,1.356176
1996-03-16,1.324132
1996-03-17,1.319549
1996-03-18,1.471433
1996-03-19,1.357289
1996-03-20,1.408778
1996-03-21,1.607033
1996-03-22,1.524616
1996-03-23,1.290483
1996-03-24,1.550911
1996-03-25,1.725262
1996-03-26,1.316406
1996-03-27,1.853687
1996-03-28,1.433254
1996-03-29,1.650821
1996-03-30,1.910076
1996-03-31,1.562254
1996-04-01,1.690552
1996-04-02,2.161393
1996-04-03,1.795959
1996-04-04,1.891468
1996-04-05,2.024633
1996-04-06,2.009330
1996-04-07,2.061696
1996-04-08,2.187733
1996-04-09,2.026105
1996-04-10,2.073570
1996-04-11,1.865286
1996-04-12,2.027320
1996-04-13,1.919142
1996-04-14,2.106655
1996-04-15,2.242613
1996-04-16,2.124493
1996-04-17,2.201362
1996-04-18,2.203217
1996-04-19,2.306628
1996-04-20,2.459491
1996-04-21,2.248061
1996-04-22,2.408875
1996-04-23,2.448455
1996-04-24,2.536708
1996-04-25,2.488400
1996-04-26,2.335921
1996-04-27,2.669594
1996-04-28,2.677710
1996-04-29,2.742824
1996-04-30,2.595378
1996-05-01,2.585752
1996-05-02,2.634234
1996-05-03,2.800076
1996-05-04,2.755467
1996-05-05,2.761560
