date,head
2000-01-01,19.902940
2000-01-03,19.945152
2000-01-05,20.017828
2000-01-06,20.275503
2000-01-07,20.227949
2000-01-08,20.193490
2000-01-09,20.204020
2000-01-10,19.947598
2000-01-11,20.306667
2000-01-12,20.295965
2000-01-13,20.325245
2000-01-15,20.303674
2000-01-16,20.429108
2000-01-17,20.363326
2000-01-19,20.144833
2000-01-20,20.841843
2000-01-21,20.713677
2000-01-24,21.044214
2000-01-26,21.105922
2000-01-27,21.243383
2000-01-28,21.224889
2000-01-29,21.313047
2000-01-30,21.337673
2000-01-31,21.266992
2000-02-01,21.306714
2000-02-02,21.385907
2000-02-03,21.440586
2000-02-04,21.424366
2000-02-05,21.403291
2000-02-06,21.614082
2000-02-07,21.577045
2000-02-08,21.698793
2000-02-09,21.784142
2000-02-10,21.816104
2000-02-11,21.739940
2000-02-12,21.632477
2000-02-13,21.544934
2000-02-14,21.992540
2000-02-15,21.828653
2000-02-16,21.901423
2000-02-18,21.622362
2000-02-19,21.638714
2000-02-20,21.567223
2000-02-21,21.751401
2000-02-22,21.782053
2000-02-23,21.762118
2000-02-24,22.130625
2000-02-25,22.371974
2000-02-27,22.221659
2000-02-28,22.262909
2000-02-29,22.185269
2000-03-01,21.972880
2000-03-03,21.541966
2000-03-05,21.427092
2000-03-06,21.564529
2000-03-07,21.415786
2000-03-08,21.294260
2000-03-09,21.173573
2000-03-10,21.111933
2000-03-11,21.259132
2000-03-12,21.234228
2000-03-13,21.165316
2000-03-14,21.195553
2000-03-15,21.065999
2000-03-16,21.005264
2000-03-17,21.574863
2000-03-18,21.544894
2000-03-19,21.477729
2000-03-21,21.233283
2000-03-22,21.130059
2000-03-23,21.083606
2000-03-24,20.971377
2000-03-25,20.830410
2000-03-26,20.897159
2000-03-27,21.102120
2000-03-30,21.262242
2000-03-31,21.370159
2000-04-01,21.134444
2000-04-03,20.975403
2000-04-05,20.760812
2000-04-06,20.840301
2000-04-07,20.769941
2000-04-08,20.853672
2000-04-09,20.868822
2000-04-10,21.000012
2000-04-11,20.989424
2000-04-12,21.060559
2000-04-13,21.229702
2000-04-14,21.165110
2000-04-15,21.016509
2000-04-16,20.885310
2000-04-17,20.828901
2000-04-18,20.788839
2000-04-19,20.719580
2000-04-20,20.735343
2000-04-22,20.565744
2000-04-24,20.310081
2000-04-25,20.383008
2000-04-27,20.109662
2000-04-28,20.001297
2000-04-29,20.123917
2000-04-30,20.456675
2000-05-02,20.255977
2000-05-03,20.202318
2000-05-04,20.059756
2000-05-05,19.901847
2000-05-06,19.844633
2000-05-09,19.871757
2000-05-10,19.798767
2000-05-11,20.678657
2000-05-12,20.675305
2000-05-13,20.536217
2000-05-14,20.435747
2000-05-15,20.247052
2000-05-16,20.264521
2000-05-18,19.996359
2000-05-19,19.870418
